Report Date,Report Month,"STU, US","STU, AR","STU, BR","STU, Corn","Production, US","Production, AR","Production, BR"
2000-01-12,2000-01,0.2068,0.2247,0.2232,0.2271,71.93,19.0,31.0
2000-02-11,2000-02,0.1961,0.2247,0.2078,0.2304,71.93,19.5,30.5
2000-03-10,2000-03,0.1848,0.2382,0.2078,0.2304,71.93,20.0,30.5
2000-04-11,2000-04,0.1734,0.2651,0.2034,0.2321,71.93,21.0,30.5
2000-05-12,2000-05,0.1711,0.2666,0.2008,0.2594,71.93,21.0,31.0
2000-06-09,2000-06,0.1726,0.2673,0.195,0.2423,71.93,21.0,31.0
2000-07-12,2000-07,0.2694,0.2648,0.219,0.2868,80.01,21.5,32.8
2000-08-11,2000-08,0.2587,0.2648,0.2101,0.3119,81.34,21.5,32.8
2000-09-12,2000-09,0.2024,0.2648,0.2101,0.2902,78.91,21.5,32.8
2000-10-12,2000-10,0.2046,0.2842,0.2008,0.2322,76.82,22.6,33.5
2000-11-09,2000-11,0.1983,0.2973,0.2158,0.2146,75.58,23.0,34.5
2000-12-12,2000-12,0.1808,0.2827,0.2004,0.2242,75.58,23.5,34.5
2001-01-11,2001-01,0.181,0.2827,0.2021,0.2333,75.38,23.5,34.5
2001-02-08,2001-02,0.1963,0.3195,0.25,0.2438,75.38,24.0,35.5
2001-03-08,2001-03,0.1879,0.3491,0.2887,0.2503,75.38,25.0,35.5
2001-04-10,2001-04,0.1691,0.3931,0.2755,0.2503,75.38,26.0,35.5
2001-05-10,2001-05,0.1657,0.3931,0.3,0.2478,75.38,26.0,36.5
2001-06-12,2001-06,0.15,0.3887,0.3245,0.2446,75.38,26.0,37.5
2001-07-11,2001-07,0.1879,0.3354,0.288,0.2356,79.88,25.5,38.0
2001-08-10,2001-08,0.1642,0.3107,0.29,0.1865,78.04,26.0,39.0
2001-09-14,2001-09,0.1391,0.3006,0.27,0.1734,77.12,26.0,39.0
2001-10-12,2001-10,0.1882,0.3061,0.2706,0.1862,79.12,27.0,41.5
2001-11-09,2001-11,0.1929,0.3387,0.2627,0.2011,79.55,28.0,41.5
2001-12-11,2001-12,0.1788,0.34,0.2549,0.2011,79.55,28.75,41.5
2002-01-11,2002-01,0.1545,0.3527,0.2745,0.1958,78.67,28.75,42.5
2002-02-08,2002-02,0.1487,0.3868,0.2863,0.1958,78.67,28.75,42.5
2002-03-08,2002-03,0.1428,0.3868,0.3062,0.2022,78.67,28.75,43.5
2002-04-10,2002-04,0.1429,0.3978,0.3255,0.2059,78.67,29.5,43.5
2002-05-10,2002-05,0.1398,0.4086,0.3371,0.1973,78.67,29.5,43.5
2002-06-12,2002-06,0.1283,0.4156,0.3435,0.1645,78.67,29.5,43.5
2002-07-11,2002-07,0.122,0.3433,0.3537,0.1853,77.84,30.0,47.0
2002-08-12,2002-08,0.0834,0.2614,0.2649,0.0987,71.53,30.0,48.0
2002-09-12,2002-09,0.0868,0.3068,0.3004,0.0939,72.28,31.0,48.0
2002-10-11,2002-10,0.095,0.321,0.2971,0.0977,72.22,31.0,48.0
2002-11-12,2002-11,0.1013,0.414,0.3268,0.1081,73.2,32.5,49.0
2002-12-10,2002-12,0.0958,0.4077,0.3268,0.107,73.2,32.5,49.0
2003-01-10,2003-01,0.1042,0.4199,0.3367,0.1178,74.29,33.5,49.0
2003-02-11,2003-02,0.0897,0.405,0.3521,0.1181,74.29,33.5,51.0
2003-03-11,2003-03,0.0876,0.4068,0.3674,0.1277,74.29,35.0,51.0
2003-04-10,2003-04,0.0804,0.4147,0.3771,0.1272,74.29,35.0,51.0
2003-05-12,2003-05,0.0748,0.4137,0.3804,0.1635,74.29,35.0,51.0
2003-06-11,2003-06,0.0779,0.4137,0.3963,0.1667,74.29,35.0,52.0
2003-07-11,2003-07,0.1448,0.4374,0.45,0.1653,78.52,37.0,56.0
2003-08-12,2003-08,0.1226,0.43,0.4642,0.1461,77.89,37.0,56.0
2003-09-11,2003-09,0.079,0.3998,0.419,0.1313,71.92,37.0,56.0
2003-10-10,2003-10,0.0788,0.3904,0.4256,0.166,67.18,37.0,60.0
2003-11-12,2003-11,0.0771,0.4019,0.4189,0.1655,66.73,38.0,60.0
2003-12-11,2003-12,0.0771,0.3999,0.4073,0.1594,66.73,36.5,60.0
2004-01-12,2004-01,0.0794,0.3999,0.4094,0.1188,65.8,36.5,60.0
