Report Date,Commodity,Region,Attribute,Value,Unit
2000-01-12,Corn,United States,Beginning Stocks,45.39,Million Metric Tons
2000-01-12,Corn,United States,Production,239.72,Million Metric Tons
2000-01-12,Corn,United States,Imports,0.38,Million Metric Tons
2000-01-12,Corn,United States,Feed,143.52,Million Metric Tons
2000-01-12,Corn,United States,Total Use,191.78,Million Metric Tons
2000-01-12,Corn,United States,Exports,50.17,Million Metric Tons
2000-01-12,Corn,United States,Ending Stocks,43.55,Million Metric Tons
2000-01-12,Corn,Major Exporters,Beginning Stocks,2.14,Million Metric Tons
2000-01-12,Corn,Major Exporters,Production,24.0,Million Metric Tons
2000-01-12,Corn,Major Exporters,Imports,0.1,Million Metric Tons
2000-01-12,Corn,Major Exporters,Feed,9.25,Million Metric Tons
2000-01-12,Corn,Major Exporters,Total Use,14.3,Million Metric Tons
2000-01-12,Corn,Major Exporters,Exports,9.8,Million Metric Tons
2000-01-12,Corn,Major Exporters,Ending Stocks,2.14,Million Metric Tons
2000-01-12,Corn,World,Beginning Stocks,108.44,Million Metric Tons
2000-01-12,Corn,World,Production,597.99,Million Metric Tons
2000-01-12,Corn,World,Imports,75.33,Million Metric Tons
2000-01-12,Corn,World,Feed,419.47,Million Metric Tons
2000-01-12,Corn,World,Total Use,596.9,Million Metric Tons
2000-01-12,Corn,World,Exports,78.12,Million Metric Tons
2000-01-12,Corn,World,Ending Stocks,109.53,Million Metric Tons
2000-01-12,"Meal, Soybeans",United States,Beginning Stocks,0.3,Million Metric Tons
2000-01-12,"Meal, Soybeans",United States,Production,34.58,Million Metric Tons
2000-01-12,"Meal, Soybeans",United States,Imports,0.05,Million Metric Tons
2000-01-12,"Meal, Soybeans",United States,Total Use,28.26,Million Metric Tons
2000-01-12,"Meal, Soybeans",United States,Exports,6.44,Million Metric Tons
2000-01-12,"Meal, Soybeans",United States,Ending Stocks,0.23,Million Metric Tons
2000-01-12,"Meal, Soybeans",Major Exporters,Beginning Stocks,1.41,Million Metric Tons
2000-01-12,"Meal, Soybeans",Major Exporters,Production,34.89,Million Metric Tons
2000-01-12,"Meal, Soybeans",Major Exporters,Imports,0.1,Million Metric Tons
2000-01-12,"Meal, Soybeans",Major Exporters,Total Use,8.46,Million Metric Tons
2000-01-12,"Meal, Soybeans",Major Exporters,Exports,26.77,Million Metric Tons
2000-01-12,"Meal, Soybeans",Major Exporters,Ending Stocks,1.16,Million Metric Tons
2000-01-12,"Meal, Soybeans",World,Beginning Stocks,4.41,Million Metric Tons
2000-01-12,"Meal, Soybeans",World,Production,105.64,Million Metric Tons
