Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2006-06-13,1651025,217971,31383,186588,11.301
2006-06-20,1660431,188222,51725,136497,8.221
2006-06-27,1599046,192676,85370,107306,6.711
2006-07-03,1630673,215391,97802,117589,7.211
2006-07-11,1671220,227375,66799,160576,9.608
2006-07-18,1666137,224003,33658,190345,11.424
2006-07-25,1703133,220761,48723,172038,10.101
2006-08-01,1731018,231366,60325,171041,9.881
2006-08-08,1699740,223341,64325,159016,9.355
2006-08-15,1704444,193068,102958,90110,5.287
2006-08-22,1701840,197270,116636,80634,4.738
2006-08-29,1625725,210127,124710,85417,5.254
2006-09-05,1635746,215646,119073,96573,5.904
2006-09-12,1657493,197439,123342,74097,4.47
2006-09-19,1639081,210962,112747,98215,5.992
2006-09-26,1651672,235713,68384,167329,10.131
2006-10-03,1658557,244102,42973,201129,12.127
2006-10-10,1704664,245040,31242,213798,12.542
2006-10-17,1834478,262308,15053,247255,13.478
2006-10-24,1905066,252275,5706,246569,12.943
2006-10-31,1931056,257382,10796,246586,12.769
2006-11-07,2067296,272180,8757,263423,12.742
2006-11-14,2063733,278265,9119,269146,13.042
2006-11-21,1869504,281078,3699,277379,14.837
2006-11-28,1900334,272551,8695,263856,13.885
2006-12-05,1897803,264718,7326,257392,13.563
2006-12-12,1918795,275832,5907,269925,14.067
2006-12-19,1926939,278944,6884,272060,14.119
2006-12-26,1965459,279084,5072,274012,13.941
2007-01-03,1962900,267139,17174,249965,12.734
2007-01-09,1982035,250530,25492,225038,11.354
2007-01-16,2116104,286488,18411,268077,12.668
2007-01-23,2165406,294773,14604,280169,12.938
2007-01-30,2117734,290415,13644,276771,13.069
2007-02-06,2124616,284311,22482,261829,12.324
2007-02-13,2146315,312197,18390,293807,13.689
2007-02-20,2178460,320256,20202,300054,13.774
2007-02-27,2056876,312784,18728,294056,14.296
2007-03-06,2044698,290721,24978,265743,12.997
2007-03-13,2040518,257790,22401,235389,11.536
2007-03-20,2069720,249890,18172,231718,11.196
2007-03-27,2047064,240116,22564,217552,10.628
2007-04-03,2073836,176513,25588,150925,7.278
2007-04-10,2064809,183146,26099,157047,7.606
2007-04-17,2026793,186081,32170,153911,7.594
2007-04-24,1843103,194164,31655,162509,8.817
2007-05-01,1845252,212456,36681,175775,9.526
2007-05-08,1838949,201478,36476,165002,8.973
2007-05-15,1854647,204125,44602,159523,8.601
2007-05-22,1824437,193665,47510,146155,8.011
2007-05-29,1830297,190293,55403,134890,7.37
2007-06-05,1861219,209535,41117,168418,9.049
2007-06-12,1853611,217686,34436,183250,9.886
2007-06-19,1851543,248076,31551,216525,11.694
2007-06-26,1656375,211101,34843,176258,10.641
2007-07-03,1661833,199914,58813,141101,8.491
2007-07-10,1675341,211071,62878,148193,8.846
2007-07-17,1719601,197153,80089,117064,6.808
2007-07-24,1714010,191441,79328,112113,6.541
2007-07-31,1679356,193278,75389,117889,7.02
2007-08-07,1659771,190508,67036,123472,7.439
2007-08-14,1599397,182722,53070,129652,8.106
2007-08-21,1572036,184852,51792,133060,8.464
2007-08-28,1510757,186497,56256,130241,8.621
2007-09-04,1521929,176929,59424,117505,7.721
2007-09-11,1532637,178146,64064,114082,7.444
2007-09-18,1552246,184609,59806,124803,8.04
2007-09-25,1597369,207465,54514,152951,9.575
2007-10-02,1617964,201706,67841,133865,8.274
2007-10-09,1615276,179997,78228,101769,6.3
2007-10-16,1630952,184090,73648,110442,6.772
2007-10-23,1640585,187855,68210,119645,7.293
2007-10-30,1647761,194018,57277,136741,8.299
2007-11-06,1715094,224708,55987,168721,9.837
2007-11-13,1675679,215799,50134,165665,9.886
2007-11-20,1458168,228448,50820,177628,12.182
2007-11-27,1426948,218696,41012,177684,12.452
2007-12-04,1445029,232980,38767,194213,13.44
2007-12-11,1538786,246071,44890,201181,13.074
2007-12-18,1616549,263044,33521,229523,14.198
2007-12-24,1651670,279243,33223,246020,14.895
2007-12-31,1726038,288521,36163,252358,14.621
2008-01-08,1835417,300298,33720,266578,14.524
2008-01-15,1979178,300059,31177,268882,13.586
2008-01-22,1994131,301293,32701,268592,13.469
2008-01-29,2004859,289865,30535,259330,12.935
2008-02-05,2069386,304724,29574,275150,13.296
2008-02-12,2099426,303646,25677,277969,13.24
2008-02-19,2157730,311403,20766,290637,13.47
2008-02-26,2063360,309238,20324,288914,14.002
2008-03-04,2088241,308424,19163,289261,13.852
2008-03-11,2116928,297803,17739,280064,13.23
