Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2006-06-13,283576,56074,14522,41552,14.653
2006-06-20,274033,39927,20096,19831,7.237
2006-06-27,249213,39994,13903,26091,10.469
2006-07-03,268341,53249,12314,40935,15.255
2006-07-11,301281,76595,12493,64102,21.276
2006-07-18,313126,79255,15377,63878,20.4
2006-07-25,305727,72804,14004,58800,19.233
2006-08-01,308851,68863,11006,57857,18.733
2006-08-08,299780,68192,9342,58850,19.631
2006-08-15,287874,49830,15456,34374,11.941
2006-08-22,289585,43995,15917,28078,9.696
2006-08-29,285727,39609,24278,15331,5.366
2006-09-05,279157,37851,25888,11963,4.285
2006-09-12,286750,33443,34540,-1097,0.383
2006-09-19,295106,33875,39149,-5274,1.787
2006-09-26,287221,27581,39443,-11862,4.13
2006-10-03,283318,25809,44213,-18404,6.496
2006-10-10,281871,24596,38244,-13648,4.842
2006-10-17,288196,28108,27291,817,0.283
2006-10-24,284082,31879,6890,24989,8.796
2006-10-31,296845,40740,10241,30499,10.274
2006-11-07,307139,49820,10441,39379,12.821
2006-11-14,323188,60835,7273,53562,16.573
2006-11-21,313991,62119,6973,55146,17.563
2006-11-28,320744,60515,6760,53755,16.759
2006-12-05,313362,62821,9357,53464,17.061
2006-12-12,309287,61953,10179,51774,16.74
2006-12-19,305179,55747,9847,45900,15.04
2006-12-26,292012,51511,9352,42159,14.437
2007-01-03,287650,55397,11410,43987,15.292
2007-01-09,284729,53909,14227,39682,13.937
2007-01-16,285977,51011,11065,39946,13.968
2007-01-23,301040,59597,6688,52909,17.575
2007-01-30,297968,58442,4750,53692,18.019
2007-02-06,317960,73286,9774,63512,19.975
2007-02-13,332968,72321,9726,62595,18.799
2007-02-20,331389,70091,7991,62100,18.739
2007-02-27,311955,71807,3999,67808,21.736
2007-03-06,296781,62906,6297,56609,19.074
2007-03-13,301952,62905,5982,56923,18.852
2007-03-20,315477,66343,6685,59658,18.91
2007-03-27,342741,78406,6972,71434,20.842
2007-04-03,352807,80819,5019,75800,21.485
