Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/15/2024,81.12,81.12,81.12,81.12,1.33,+1.67%,108180,143005
08/14/2024,79.79,79.79,79.79,79.79,-0.91,-1.13%,142366,142238
08/13/2024,80.7,80.7,80.7,80.7,-1.54,-1.87%,140378,145306
08/12/2024,82.24,82.24,82.24,82.24,2.6,+3.26%,123049,140570
08/09/2024,79.64,79.64,79.64,79.64,0.46,+0.58%,82774,139713
08/08/2024,79.18,79.18,79.18,79.18,0.85,+1.09%,111022,140525
08/07/2024,78.33,78.33,78.33,78.33,1.9,+2.49%,140932,140892
08/06/2024,76.43,76.43,76.43,76.43,0.07,+0.09%,113162,140317
08/05/2024,76.36,76.36,76.36,76.36,-0.45,-0.59%,162365,138401
08/02/2024,76.81,76.81,76.81,76.81,-2.72,-3.42%,148027,134676
08/01/2024,79.53,79.53,79.53,79.53,-1.32,-1.63%,129550,131869
07/31/2024,80.85,80.85,80.85,80.85,2.18,+2.77%,5412,127725
07/30/2024,78.67,78.67,78.67,78.67,-1.11,-1.39%,133360,147385
07/29/2024,79.78,79.78,79.78,79.78,-1.31,-1.62%,138844,145865
07/26/2024,81.09,81.09,81.09,81.09,-1.27,-1.54%,127045,143845
07/25/2024,82.36,82.36,82.36,82.36,0.7,+0.86%,169191,141698
07/24/2024,81.66,81.66,81.66,81.66,0.67,+0.83%,144655,141001
07/23/2024,80.99,80.99,80.99,80.99,-1.42,-1.72%,155833,134023
07/22/2024,82.41,82.41,82.41,82.41,-0.2,-0.24%,117052,130444
07/19/2024,82.61,82.61,82.61,82.61,-2.56,-3.01%,150082,129172
07/18/2024,85.17,85.17,85.17,85.17,0.08,+0.09%,156115,128753
07/17/2024,85.09,85.09,85.09,85.09,1.47,+1.76%,137569,128384
07/16/2024,83.62,83.62,83.62,83.62,-1.23,-1.45%,128578,126106
07/15/2024,84.85,84.85,84.85,84.85,-0.16,-0.19%,100984,126303
07/12/2024,85.01,85.01,85.01,85.01,-0.37,-0.43%,135575,125183
07/11/2024,85.38,85.38,85.38,85.38,0.3,+0.35%,143659,124570
07/10/2024,85.08,85.08,85.08,85.08,0.36,+0.42%,141060,124254
07/09/2024,84.72,84.72,84.72,84.72,-1.04,-1.21%,113047,124002
07/08/2024,85.76,85.76,85.76,85.76,-0.79,-0.91%,96738,121585
07/05/2024,86.55,86.55,86.55,86.55,-1.,-1.14%,141233,122091
07/04/2024,87.55,87.55,87.55,87.55,0.21,+0.24%,111857,0
07/03/2024,87.34,87.34,87.34,87.34,1.13,+1.31%,113041,120418
07/02/2024,86.21,86.21,86.21,86.21,-0.41,-0.47%,155787,120673
07/01/2024,86.62,86.62,86.62,86.62,1.63,+1.92%,149595,118772
06/28/2024,84.99,84.99,84.99,84.99,-1.4,-1.62%,101688,119508
06/27/2024,86.39,86.39,86.39,86.39,1.16,+1.36%,132251,131292
06/26/2024,85.23,85.23,85.23,85.23,0.21,+0.25%,136996,132490
06/25/2024,85.02,85.02,85.02,85.02,-0.98,-1.14%,122477,132431
06/24/2024,86,86,86,86,0.77,+0.90%,109503,129631
06/21/2024,85.23,85.23,85.23,85.23,-0.5,-0.58%,111301,129844
06/20/2024,85.73,85.73,85.73,85.73,0.46,+0.54%,157039,128373
06/19/2024,85.27,85.27,85.27,85.27,-0.16,-0.19%,161687,0
06/18/2024,85.43,85.43,85.43,85.43,1.18,+1.40%,163253,126907
06/17/2024,84.25,84.25,84.25,84.25,1.66,+2.01%,125966,127147
06/14/2024,82.59,82.59,82.59,82.59,-0.16,-0.19%,118348,124946
06/13/2024,82.75,82.75,82.75,82.75,0.09,+0.11%,111284,125189
06/12/2024,82.66,82.66,82.66,82.66,0.77,+0.94%,104129,122491
06/11/2024,81.89,81.89,81.89,81.89,0.24,+0.29%,90042,122781
06/10/2024,81.65,81.65,81.65,81.65,2.02,+2.54%,89251,120960
06/07/2024,79.63,79.63,79.63,79.63,-0.22,-0.28%,73312,121436
06/06/2024,79.85,79.85,79.85,79.85,1.44,+1.84%,90919,118107
06/05/2024,78.41,78.41,78.41,78.41,0.89,+1.15%,99926,116690
06/04/2024,77.52,77.52,77.52,77.52,-0.85,-1.08%,108508,113373
06/03/2024,78.37,78.37,78.37,78.37,-2.74,-3.38%,96195,112193
05/31/2024,81.11,81.11,81.11,81.11,-0.75,-0.92%,76681,111164
05/30/2024,81.86,81.86,81.86,81.86,-1.75,-2.09%,94562,135444
05/29/2024,83.61,83.61,83.61,83.61,-0.67,-0.79%,77595,138012
05/28/2024,84.28,84.28,84.28,84.28,1.24,+1.49%,78095,138103
05/27/2024,83.04,83.04,83.04,83.04,0.98,+1.19%,56980,0
05/24/2024,82.06,82.06,82.06,82.06,0.7,+0.86%,62375,137364
05/23/2024,81.36,81.36,81.36,81.36,-0.52,-0.64%,76996,139346
05/22/2024,81.88,81.88,81.88,81.88,-0.9,-1.09%,83799,138088
05/21/2024,82.78,82.78,82.78,82.78,-0.91,-1.09%,92755,132451
05/20/2024,83.69,83.69,83.69,83.69,-0.3,-0.36%,70603,128273
05/17/2024,83.99,83.99,83.99,83.99,0.7,+0.84%,64877,128244
05/16/2024,83.29,83.29,83.29,83.29,0.54,+0.65%,71100,126864
05/15/2024,82.75,82.75,82.75,82.75,0.37,+0.45%,93625,125947
05/14/2024,82.38,82.38,82.38,82.38,-0.98,-1.18%,82359,126599
05/13/2024,83.36,83.36,83.36,83.36,0.61,+0.74%,70830,128735
05/10/2024,82.75,82.75,82.75,82.75,-1.12,-1.34%,60098,128232
05/09/2024,83.87,83.87,83.87,83.87,0.3,+0.36%,61522,127584
05/08/2024,83.57,83.57,83.57,83.57,0.4,+0.48%,92337,127337
