Date,PPI- Commodities, PPI- Farm Products,PPI- Grains,PPI- OilSeeds,PPI- Corn,PPI- Soybeans,"PPI- Industry, Food","PPI- Freight, WareHousing",GDP (Bn USD),Gold,DX,Crude,USD?BRL
2000-01,128.3,95.9,77.8,89.7,77.1,79.6,126.7,77.55,,284.86,101.5455,,
2000-02,129.8,97.5,82.4,94.7,82.8,83.9,127.2,77.83,,299.44,104.4565,,
2000-03,130.8,100.6,85.9,98.3,87.8,87.1,127.4,78.11,,286.4,105.6243478,,
2000-04,130.7,101.6,82.6,98,83.6,87.3,128.1,78.4,,280.09,106.5363158,,
2000-05,131.6,103.7,85.8,102.3,87.7,91.6,129.3,78.68,,274.74,110.8768182,,
2000-06,133.8,100.1,78.6,97.1,76.1,87,129.4,78.96,,284.92,107.2454545,,
2000-07,133.7,97.3,71,90.8,65.3,80.8,129.4,79.24,,281.79,108.166,,
2000-08,132.9,94.6,66.8,87.4,61.7,77.8,128.7,79.52,,274.29,111.0365217,,
2000-09,134.7,98,70.1,92.5,65.5,82.8,128.5,79.81,,273.62,114.3585,,
2000-10,135.4,100.3,76.3,89.9,71.9,79.4,128.7,80.09,,270.31,115.8740909,,
2000-11,135,101.5,81.2,90,78.3,79.1,128.8,80.37,,265.47,116.4528571,,
2000-12,136.2,103.4,81.2,94.8,78.9,84.1,129.6,80.65,,271.67,112.9665,,
2001-01,140,104.5,85.7,93.6,83.8,82.8,130.3,80.94,,265.87,110.1195238,,
2001-02,137.4,103.6,80.1,86.5,77.2,75,130.8,81.22,,261.75,111.7131579,,
2001-03,135.9,107.3,84,86.9,81.6,76.2,131.8,81.5,,263.32,113.6577273,,
2001-04,136.4,106,80.4,84.2,78.6,73.3,132.5,81.78,,260.29,115.6145,,
2001-05,136.8,106.8,79.7,88.2,74.3,76.5,133.4,82.06,,271.62,116.5877273,,
2001-06,135.5,105.9,77.6,91.3,72.4,80.8,133.7,82.35,,270.49,118.9552381,,
2001-07,133.4,105,81,97.4,79.2,87,134,82.63,,267.61,118.5280952,,
2001-08,133.4,105.5,83.1,98.6,83,88.4,134.6,82.91,,272.19,114.5913043,,2.5481
2001-09,133.3,105.3,81.7,91.4,80.8,80.1,134.5,83.19,,282.53,113.29,,2.657665
2001-10,130.3,101.2,78.5,86.7,75.8,75.3,134.1,83.48,,283.38,114.1117391,,2.741217391
2001-11,129.8,97.3,80.3,86.5,77.5,74.7,132.4,83.76,,276.03,115.9722727,,2.549159091
2001-12,128.1,96.6,82.6,85.3,81.1,73.6,131.7,84.04,,276.29,116.129,,2.360238095
2002-01,128.5,99.9,82.2,85.5,80.2,74.5,131.5,84.32,10783.5,281.8,117.5833333,,2.379536364
2002-02,128.4,101.8,80.9,85.3,79.2,73.8,132,84.61,10783.5,295.55,119.0978947,,2.42105
2002-03,129.8,104.4,81.2,88,80,76.7,132,84.89,10783.5,294.57,117.993,,2.343714286
2002-04,130.8,94.3,79.3,90.1,78.1,78.3,131.5,85.17,10887.5,303.14,117.0313636,,2.320954545
2002-05,130.8,96.6,82.8,91.5,83.1,81.4,130.9,85.45,10887.5,314.09,113.5736364,,2.483681818
2002-06,130.9,96.2,81.5,96.9,80.1,86.2,131.3,85.73,10887.5,321.73,109.8525,,2.721085
2002-07,131.2,97.9,90,109.6,88.8,97.8,131.5,86.02,10984,313.89,105.8218182,,2.940586957
2002-08,131.5,99.7,104.6,112.1,105.7,100.4,131.3,86.3,10984,310.18,107.4095455,,3.101681818
2002-09,132.3,99.8,114.1,110.4,111.9,99.5,136.1,86.58,10984,318.98,107.2385,,3.34797619
2002-10,133.2,99.1,105.8,103.3,99.5,92.6,131.6,86.86,11061.4,316.76,107.5781818,,3.798826087
2002-11,133.1,99.1,98.8,106.5,93.9,95.9,131.6,87.15,11061.4,319.19,105.7305263,,3.588809524
2002-12,132.9,99.1,96.3,106.2,91.8,95.4,132.6,87.43,11061.4,333.8,104.3604762,,3.639166667
2003-01,135.3,104.1,93.8,104.2,91.5,93.3,133.9,87.71,11174.1,357.15,100.9457143,,3.436613636
2003-02,137.6,104.6,98.6,108.5,96.8,97.4,134.5,87.99,11174.1,358.18,99.88210526,,3.59391
2003-03,141.2,104,95.3,108.8,94.6,97.6,134.8,88.27,11174.1,340.67,99.66333333,,3.450547619
2003-04,136.8,105.6,96.8,116.6,97.1,105.5,135.1,88.56,11312.8,329.21,99.44952381,,3.106113636
2003-05,136.7,109.2,101.5,119.9,101.5,109.6,135.7,88.84,11312.8,355.39,94.57190476,25.361,2.960136364
2003-06,138,107.3,97.9,118.5,97.3,108,137.1,89.12,11312.8,357.36,93.53047619,27.111,2.877838095
2003-07,137.7,105.5,87.8,112.8,86.1,102,137,89.4,11566.7,350.88,95.66409091,28.29909091,2.878886957
2003-08,138,109,91.7,106.7,88.8,96.6,137.8,89.69,11566.7,359.91,97.18666667,29.486,2.999771429
2003-09,138.5,116.1,96.6,114.3,96.6,104.8,139,89.97,11566.7,378.67,95.97619048,29.486,2.921427273
2003-10,139.3,124.4,87.9,134.5,84.9,125.1,141.8,90.25,11772.2,378.69,92.10681818,29.486,2.85986087
2003-11,138.9,123.7,96.6,141.3,92.1,131.3,141.5,90.53,11772.2,389.76,91.99166667,29.49,2.91121
2003-12,139.5,124.3,101.3,144.8,98,134.2,141.1,90.81,11772.2,408.21,88.59772727,29.56619048,2.925482609
2004-01,141.4,117.4,105.5,152.4,104.3,141.8,139.3,91.1,11923.4,414.4,86.3285,30.81142857,2.847052381
2004-02,142.1,120.4,108.1,155.1,109,144,140.4,91.38,11923.4,404.57,86.31,30.284,2.929935
2004-03,143.1,129.1,112.6,173.5,116.1,162.6,142.4,91.66,11923.4,406.12,88.43173913,32.82217391,2.905813043
2004-04,144.8,129.6,117.6,176.3,121.9,165.9,146.1,91.94,12112.8,406.44,89.71761905,32.9225,2.904668182
2004-05,146.8,135.1,113.9,189.7,116.7,178.4,149.1,92.23,12112.8,384.12,90.6435,37.14894737,3.094180952
2004-06,147.2,129.7,108.4,165.4,110.4,154.4,148.6,92.51,12112.8,392.06,89.14285714,35.81727273,3.130745455
2004-07,147.4,124.4,99.1,163.9,97.6,153.7,146.5,92.79,12305.3,398.24,88.29285714,37.36727273,3.04225
2004-08,148,119,92.1,109.9,91.2,99.1,144.6,93.07,12305.3,400.76,88.91818182,41.9252381,3.006581818
2004-09,147.7,118.7,90.7,106.1,86,96,143.8,93.35,12305.3,405.63,88.65190476,42.535,2.894563636
