Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","1991","1991","7021","Annual value","USD","192.2","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","1992","1992","7021","Annual value","USD","358.1","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","1993","1993","7021","Annual value","USD","254.2","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","1994","1994","7021","Annual value","USD","388.1","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","1995","1995","7021","Annual value","USD","430.4","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","1996","1996","7021","Annual value","USD","356.2","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","1997","1997","7021","Annual value","USD","351.6","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","1998","1998","7021","Annual value","USD","363.6","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","1999","1999","7021","Annual value","USD","197.4","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","2000","2000","7021","Annual value","USD","199","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","2001","2001","7021","Annual value","USD","199.6","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","2018","2018","7021","Annual value","USD","314","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","2019","2019","7021","Annual value","USD","379","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","2020","2020","7021","Annual value","USD","341.1","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","2021","2021","7021","Annual value","USD","334.4","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","2022","2022","7021","Annual value","USD","365.3","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","1991","1991","7021","Annual value","USD","324.3","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","1992","1992","7021","Annual value","USD","425.7","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","1993","1993","7021","Annual value","USD","248.2","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","1994","1994","7021","Annual value","USD","651.4","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","1995","1995","7021","Annual value","USD","595","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","1996","1996","7021","Annual value","USD","623.8","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","1997","1997","7021","Annual value","USD","516.7","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","1998","1998","7021","Annual value","USD","536","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","1999","1999","7021","Annual value","USD","308.7","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","2000","2000","7021","Annual value","USD","261.8","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","2001","2001","7021","Annual value","USD","287.3","X","Figure from international organizations"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","2018","2018","7021","Annual value","USD","366.3","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","377.7","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","2020","2020","7021","Annual value","USD","344.3","A","Official figure"
