Date,GDP (Bn USD),Gold,DX,Crude,USD?BRL
2000-01,,284.86,101.5455,,
2000-02,,299.44,104.4565,,
2000-03,,286.4,105.6243478,,
2000-04,,280.09,106.5363158,,
2000-05,,274.74,110.8768182,,
2000-06,,284.92,107.2454545,,
2000-07,,281.79,108.166,,
2000-08,,274.29,111.0365217,,
2000-09,,273.62,114.3585,,
2000-10,,270.31,115.8740909,,
2000-11,,265.47,116.4528571,,
2000-12,,271.67,112.9665,,
2001-01,,265.87,110.1195238,,
2001-02,,261.75,111.7131579,,
2001-03,,263.32,113.6577273,,
2001-04,,260.29,115.6145,,
2001-05,,271.62,116.5877273,,
2001-06,,270.49,118.9552381,,
2001-07,,267.61,118.5280952,,
2001-08,,272.19,114.5913043,,2.5481
2001-09,,282.53,113.29,,2.657665
2001-10,,283.38,114.1117391,,2.741217391
2001-11,,276.03,115.9722727,,2.549159091
2001-12,,276.29,116.129,,2.360238095
2002-01,10783.5,281.8,117.5833333,,2.379536364
2002-02,10783.5,295.55,119.0978947,,2.42105
2002-03,10783.5,294.57,117.993,,2.343714286
2002-04,10887.5,303.14,117.0313636,,2.320954545
2002-05,10887.5,314.09,113.5736364,,2.483681818
2002-06,10887.5,321.73,109.8525,,2.721085
2002-07,10984,313.89,105.8218182,,2.940586957
2002-08,10984,310.18,107.4095455,,3.101681818
2002-09,10984,318.98,107.2385,,3.34797619
2002-10,11061.4,316.76,107.5781818,,3.798826087
2002-11,11061.4,319.19,105.7305263,,3.588809524
2002-12,11061.4,333.8,104.3604762,,3.639166667
2003-01,11174.1,357.15,100.9457143,,3.436613636
2003-02,11174.1,358.18,99.88210526,,3.59391
2003-03,11174.1,340.67,99.66333333,,3.450547619
2003-04,11312.8,329.21,99.44952381,,3.106113636
2003-05,11312.8,355.39,94.57190476,25.361,2.960136364
2003-06,11312.8,357.36,93.53047619,27.111,2.877838095
2003-07,11566.7,350.88,95.66409091,28.29909091,2.878886957
2003-08,11566.7,359.91,97.18666667,29.486,2.999771429
2003-09,11566.7,378.67,95.97619048,29.486,2.921427273
2003-10,11772.2,378.69,92.10681818,29.486,2.85986087
2003-11,11772.2,389.76,91.99166667,29.49,2.91121
2003-12,11772.2,408.21,88.59772727,29.56619048,2.925482609
2004-01,11923.4,414.4,86.3285,30.81142857,2.847052381
2004-02,11923.4,404.57,86.31,30.284,2.929935
2004-03,11923.4,406.12,88.43173913,32.82217391,2.905813043
2004-04,12112.8,406.44,89.71761905,32.9225,2.904668182
2004-05,12112.8,384.12,90.6435,37.14894737,3.094180952
2004-06,12112.8,392.06,89.14285714,35.81727273,3.130745455
2004-07,12305.3,398.24,88.29285714,37.36727273,3.04225
2004-08,12305.3,400.76,88.91818182,41.9252381,3.006581818
2004-09,12305.3,405.63,88.65190476,42.535,2.894563636
2004-10,12527.2,420.6,86.98714286,49.26761905,2.851480952
2004-11,12527.2,438.84,83.76761905,44.93681818,2.795409091
2004-12,12527.2,443.04,81.63272727,40.53714286,2.718969565
2005-01,12767.3,424.98,82.9985,44.058,2.695947619
2005-02,12767.3,423.65,83.77315789,45.6395,2.600215
2005-03,12767.3,434,82.78045455,53.0747619,2.706204348
2005-04,12922.7,429.27,84.27714286,53.50333333,2.583738095
2005-05,12922.7,423.24,85.51333333,49.8875,2.453077273
2005-06,12922.7,430.36,88.41318182,55.02,2.417113636
2005-07,13142.6,424.86,89.711,57.68142857,2.372661905
2005-08,13142.6,437.9,88.01130435,63.41409091,2.361891304
2005-09,13142.6,455.34,88.03142857,64.05090909,2.300190909
2005-10,13324.2,470.02,89.70857143,59.74190476,2.254804762
2005-11,13324.2,476.5,91.46380952,56.48454545,2.212968182
2005-12,13324.2,508.64,90.95666667,57.4685,2.2796
2006-01,13599.2,547.56,89.1455,63.43571429,2.275754545
2006-02,13599.2,556,90.27,61.7785,2.163015
2006-03,13599.2,557.4,89.96826087,62.85913043,2.149569565
2006-04,13753.4,608.45,88.54578947,70.23210526,2.13174
2006-05,13753.4,673.6,84.94045455,71.13857143,2.167547826
2006-06,13753.4,597.6,85.76227273,69.64909091,2.250504545
2006-07,13870.2,632.99,85.8815,74.40047619,2.189257143
2006-08,13870.2,630.97,85.08565217,74.33913043,2.157465217
2006-09,13870.2,599.92,85.5695,64.24,2.167528571
2006-10,14039.6,586.69,86.38409091,60.02636364,2.149972727
2006-11,14039.6,626.29,84.94619048,59.43954545,2.156468182
2006-12,14039.6,629.39,83.3065,62.53315789,2.149890476
