Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2006-06-13,201077,18205,24234,-6029,2.998
2006-06-20,191263,14897,22329,-7432,3.886
2006-06-27,197286,12064,31416,-19352,9.809
2006-07-03,198744,14444,29290,-14846,7.47
2006-07-11,201955,15692,32586,-16894,8.365
2006-07-18,224584,15573,46643,-31070,13.834
2006-07-25,223029,16447,49433,-32986,14.79
2006-08-01,236932,14315,56029,-41714,17.606
2006-08-08,246157,15596,60731,-45135,18.336
2006-08-15,253540,14437,60762,-46325,18.271
2006-08-22,264917,13884,64605,-50721,19.146
2006-08-29,257179,13353,62356,-49003,19.054
2006-09-05,260297,14865,59156,-44291,17.016
2006-09-12,274243,12911,68126,-55215,20.134
2006-09-19,265883,14239,57608,-43369,16.311
2006-09-26,242971,13284,49947,-36663,15.089
2006-10-03,236995,12348,50329,-37981,16.026
2006-10-10,229892,14075,44118,-30043,13.068
2006-10-17,222487,17723,28482,-10759,4.836
2006-10-24,225422,20550,24590,-4040,1.792
2006-10-31,233442,30976,18591,12385,5.305
2006-11-07,245096,35489,13162,22327,9.109
2006-11-14,241080,37321,13860,23461,9.732
2006-11-21,227001,35305,14032,21273,9.371
2006-11-28,233777,36111,14417,21694,9.28
2006-12-05,226476,28358,17623,10735,4.74
2006-12-12,226162,26679,14939,11740,5.191
2006-12-19,225546,22568,16524,6044,2.68
2006-12-26,212641,23773,16337,7436,3.497
2007-01-03,206889,26112,18181,7931,3.833
2007-01-09,206766,23049,18098,4951,2.394
2007-01-16,215860,31123,15383,15740,7.292
2007-01-23,228105,40587,13556,27031,11.85
2007-01-30,237717,43254,15872,27382,11.519
2007-02-06,242641,46501,12329,34172,14.083
2007-02-13,253793,59490,9110,50380,19.851
2007-02-20,263665,65260,8912,56348,21.371
2007-02-27,253982,60168,8154,52014,20.479
2007-03-06,238098,47983,9910,38073,15.99
2007-03-13,236946,44089,11467,32622,13.768
2007-03-20,237675,41414,11798,29616,12.461
2007-03-27,231854,36836,14010,22826,9.845
2007-04-03,237773,33328,14347,18981,7.983
2007-04-10,246790,30255,15400,14855,6.019
2007-04-17,247257,27096,16459,10637,4.302
2007-04-24,234577,23485,14111,9374,3.996
2007-05-01,234024,29937,16083,13854,5.92
2007-05-08,238972,28426,18780,9646,4.036
2007-05-15,239517,29303,19090,10213,4.264
2007-05-22,232978,33242,16342,16900,7.254
2007-05-29,233781,35295,14878,20417,8.733
2007-06-05,245743,44018,13071,30947,12.593
2007-06-12,246137,46175,9354,36821,14.96
2007-06-19,247226,50736,10673,40063,16.205
2007-06-26,224552,44869,9173,35696,15.897
2007-07-03,225492,48428,6449,41979,18.617
2007-07-10,234937,54127,5185,48942,20.832
2007-07-17,233191,54382,4540,49842,21.374
2007-07-24,224186,43735,5732,38003,16.952
2007-07-31,216417,39611,10614,28997,13.399
2007-08-07,220339,44253,9684,34569,15.689
2007-08-14,217119,43873,4916,38957,17.943
2007-08-21,211512,37546,4718,32828,15.521
2007-08-28,213327,43742,2188,41554,19.479
2007-09-04,222374,50214,1920,48294,21.717
2007-09-11,229688,52485,1399,51086,22.241
2007-09-18,246249,59436,2586,56850,23.086
2007-09-25,245826,59128,1844,57284,23.303
2007-10-02,235348,56956,4297,52659,22.375
2007-10-09,236629,54818,3024,51794,21.888
2007-10-16,246135,59163,3060,56103,22.794
2007-10-23,257147,61558,2823,58735,22.841
2007-10-30,259032,61514,1242,60272,23.268
2007-11-06,272461,67845,1489,66356,24.354
2007-11-13,271446,69050,4024,65026,23.955
2007-11-20,267814,68289,4656,63633,23.76
2007-11-27,262419,67490,5228,62262,23.726
2007-12-04,265907,71139,2897,68242,25.664
