Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2006-06-13,484407,40085,42608,-2523,0.521
2006-06-20,470526,36917,52192,-15275,3.246
2006-06-27,414948,34717,68052,-33335,8.034
2006-07-03,410024,39376,44532,-5156,1.257
2006-07-11,427561,45254,39108,6146,1.437
2006-07-18,416774,41314,39321,1993,0.478
2006-07-25,398164,42451,48574,-6123,1.538
2006-08-01,414997,43505,69211,-25706,6.194
2006-08-08,418437,42194,80996,-38802,9.273
2006-08-15,426421,38006,81780,-43774,10.265
2006-08-22,443178,37595,83310,-45715,10.315
2006-08-29,433571,35858,83107,-47249,10.898
2006-09-05,435205,37300,83024,-45724,10.506
2006-09-12,442040,36913,88062,-51149,11.571
2006-09-19,446428,35464,87535,-52071,11.664
2006-09-26,450924,31348,84868,-53520,11.869
2006-10-03,470218,29847,85112,-55265,11.753
2006-10-10,472253,36698,65401,-28703,6.078
2006-10-17,506020,45970,46175,-205,0.041
2006-10-24,495308,48737,28243,20494,4.138
2006-10-31,456696,58666,21848,36818,8.062
2006-11-07,488685,64018,20031,43987,9.001
2006-11-14,501704,69471,21072,48399,9.647
2006-11-21,504744,67057,21612,45445,9.004
2006-11-28,529498,71653,20247,51406,9.708
2006-12-05,538390,66681,21352,45329,8.419
2006-12-12,550854,73942,20228,53714,9.751
2006-12-19,546420,68823,20227,48596,8.894
2006-12-26,496168,70209,19197,51012,10.281
2007-01-03,497953,77008,19695,57313,11.51
2007-01-09,498726,77534,22547,54987,11.025
2007-01-16,541420,85955,21109,64846,11.977
2007-01-23,570881,98365,20779,77586,13.591
2007-01-30,571574,99205,17234,81971,14.341
2007-02-06,607699,109325,12976,96349,15.855
2007-02-13,628858,107747,12793,94954,15.099
2007-02-20,660578,111199,14380,96819,14.657
2007-02-27,622588,111104,14346,96758,15.541
2007-03-06,608592,84982,18068,66914,10.995
2007-03-13,610320,89842,11221,78621,12.882
2007-03-20,629459,94508,12213,82295,13.074
2007-03-27,628757,93994,11713,82281,13.086
2007-04-03,648432,97599,11594,86005,13.264
2007-04-10,637031,83606,14892,68714,10.787
2007-04-17,641764,73156,18216,54940,8.561
2007-04-24,551120,63721,21092,42629,7.735
2007-05-01,550492,74842,13764,61078,11.095
2007-05-08,549681,72441,15482,56959,10.362
2007-05-15,591999,91973,5981,85992,14.526
2007-05-22,632012,116380,6425,109955,17.398
2007-05-29,661839,125083,8487,116596,17.617
2007-06-05,723283,141846,6921,134925,18.655
2007-06-12,722314,137850,8323,129527,17.932
2007-06-19,736533,135725,4405,131320,17.829
2007-06-26,659065,121671,5203,116468,17.672
2007-07-03,682760,130042,9486,120556,17.657
2007-07-10,720536,146331,10705,135626,18.823
2007-07-17,724567,129370,10720,118650,16.375
2007-07-24,699603,115684,11738,103946,14.858
2007-07-31,659871,108666,12267,96399,14.609
2007-08-07,652677,107309,8413,98896,15.152
2007-08-14,657415,116120,11539,104581,15.908
2007-08-21,648191,93173,14882,78291,12.078
2007-08-28,638126,105877,11237,94640,14.831
2007-09-04,659541,112780,8659,104121,15.787
2007-09-11,679157,117087,9370,107717,15.86
2007-09-18,737980,127829,8662,119167,16.148
2007-09-25,748040,131280,5498,125782,16.815
2007-10-02,755837,129234,8207,121027,16.012
2007-10-09,766273,132413,5989,126424,16.499
2007-10-16,784454,135193,6276,128917,16.434
2007-10-23,785306,136935,4931,132004,16.809
2007-10-30,696084,138682,5059,133623,19.196
2007-11-06,718137,151563,4512,147051,20.477
2007-11-13,740331,150437,3951,146486,19.787
2007-11-20,764735,158249,2502,155747,20.366
2007-11-27,749085,148424,5639,142785,19.061
2007-12-04,760077,152873,4163,148710,19.565
2007-12-11,774709,156679,1753,154926,19.998
2007-12-18,779134,148194,2066,146128,18.755
2007-12-24,738955,150538,1722,148816,20.139
2007-12-31,733990,146007,3218,142789,19.454
2008-01-08,765842,144326,1821,142505,18.608
2008-01-15,791022,144275,3037,141238,17.855
2008-01-22,783498,135606,4926,130680,16.679
2008-01-29,793158,140285,3387,136898,17.26
2008-02-05,838106,149907,3511,146396,17.467
2008-02-12,841245,143231,3518,139713,16.608
2008-02-19,878378,148118,4718,143400,16.326
2008-02-26,819428,140383,2468,137915,16.831
2008-03-04,812030,127435,4686,122749,15.116
2008-03-11,791692,117422,5492,111930,14.138
2008-03-18,806666,118096,7829,110267,13.669
2008-03-25,789241,116614,7982,108632,13.764
2008-04-01,770413,107694,12490,95204,12.358
2008-04-08,756598,108271,5512,102759,13.582
2008-04-15,778709,113393,3825,109568,14.07
2008-04-22,775412,120313,4204,116109,14.974
2008-04-29,661079,116842,7498,109344,16.54
2008-05-06,642804,115651,4707,110944,17.259
2008-05-13,649502,118278,6180,112098,17.259
2008-05-20,644202,119364,6497,112867,17.52
2008-05-27,648088,116589,6315,110274,17.015
2008-06-03,664023,122902,4965,117937,17.761
2008-06-10,699193,131553,7507,124046,17.741
2008-06-17,733117,128535,6937,121598,16.586
2008-06-24,631526,123611,8845,114766,18.173
2008-07-01,654425,128315,8865,119450,18.253
2008-07-08,644040,117134,7626,109508,17.003
2008-07-15,631462,117970,7341,110629,17.52
2008-07-22,607051,104660,9897,94763,15.61
2008-07-29,552608,94997,5870,89127,16.128
2008-08-05,547771,93037,6238,86799,15.846
2008-08-12,561309,85446,11234,74212,13.221
2008-08-19,566097,81583,10189,71394,12.612
2008-08-26,544315,84798,8050,76748,14.1
2008-09-02,534851,82481,6619,75862,14.184
2008-09-09,547022,70521,16454,54067,9.884
2008-09-16,562180,59590,16120,43470,7.732
2008-09-23,538390,61054,13596,47458,8.815
2008-09-30,555265,52828,15185,37643,6.779
2008-10-07,575501,53072,13052,40020,6.954
2008-10-14,589260,43907,17906,26001,4.412
2008-10-21,553469,38483,17428,21055,3.804
2008-10-28,419138,40067,10456,29611,7.065
2008-11-04,412958,43908,7510,36398,8.814
2008-11-11,425124,40815,10702,30113,7.083
2008-11-18,423940,41173,10673,30500,7.194
2008-11-25,427552,45208,12593,32615,7.628
2008-12-02,440156,41823,17693,24130,5.482
2008-12-09,449615,42672,18297,24375,5.421
2008-12-16,442111,42353,19679,22674,5.129
2008-12-22,420278,42237,17585,24652,5.866
2008-12-30,379052,44542,13024,31518,8.315
2009-01-06,395931,47349,12264,35085,8.861
2009-01-13,413270,53767,11353,42414,10.263
2009-01-20,442483,53423,15731,37692,8.518
2009-01-27,458782,57644,14390,43254,9.428
2009-02-03,459352,57233,17110,40123,8.735
2009-02-10,461414,59717,12525,47192,10.228
2009-02-17,469299,52520,22427,30093,6.412
2009-02-24,399233,49892,29243,20649,5.172
2009-03-03,398374,46562,34270,12292,3.086
2009-03-10,403707,44806,31679,13127,3.252
2009-03-17,421601,48777,28238,20539,4.872
2009-03-24,452203,60486,17841,42645,9.43
2009-03-31,446942,61399,16846,44553,9.968
2009-04-07,476888,77288,9930,67358,14.124
2009-04-14,512878,87406,8129,79277,15.457
2009-04-21,537107,98533,8441,90092,16.774
2009-04-28,503822,91260,10343,80917,16.061
2009-05-05,548869,105438,6141,99297,18.091
2009-05-12,568273,107773,4275,103498,18.213
2009-05-19,605299,112876,4465,108411,17.91
2009-05-26,623825,118466,5029,113437,18.184
2009-06-02,642081,118852,5813,113039,17.605
2009-06-09,660051,124114,6444,117670,17.827
2009-06-16,659287,116400,6514,109886,16.667
2009-06-23,661897,109235,6252,102983,15.559
2009-06-30,578217,109170,7928,101242,17.509
2009-07-07,576683,88662,9911,78751,13.656
2009-07-14,575545,81221,17956,63265,10.992
2009-07-21,571460,76517,17835,58682,10.269
2009-07-28,528948,78653,15086,63567,12.018
2009-08-04,560711,96497,10812,85685,15.281
2009-08-11,579236,107518,6620,100898,17.419
2009-08-18,567153,86899,7910,78989,13.927
2009-08-25,550674,83706,9854,73852,13.411
2009-09-01,562660,80950,20499,60451,10.744
2009-09-08,581189,73655,27763,45892,7.896
2009-09-15,595306,80041,29408,50633,8.505
2009-09-22,598079,72695,34554,38141,6.377
2009-09-29,589428,71715,30452,41263,7.001
2009-10-06,607932,77581,39478,38103,6.268
2009-10-13,635222,88399,16174,72225,11.37
2009-10-20,627886,97800,18697,79103,12.598
2009-10-27,546260,96327,19105,77222,14.136
2009-11-03,538228,107140,11935,95205,17.689
2009-11-09,535638,89981,17985,71996,13.441
2009-11-17,560171,104733,14891,89842,16.038
2009-11-24,587345,120090,8399,111691,19.016
2009-12-01,608589,120126,7835,112291,18.451
2009-12-08,611896,124332,13130,111202,18.173
2009-12-15,622997,128698,16154,112544,18.065
2009-12-22,606444,94720,26334,68386,11.277
2009-12-29,526575,92554,22948,69606,13.219
2010-01-05,533998,111171,22875,88296,16.535
2010-01-12,554547,95701,36562,59139,10.664
2010-01-19,578356,84955,41718,43237,7.476
2010-01-26,572952,81786,49650,32136,5.609
2010-02-02,603452,78247,56794,21453,3.555
2010-02-09,610352,71672,72063,-391,0.064
2010-02-16,608338,75616,54106,21510,3.536
2010-02-23,547226,73489,45995,27494,5.024
2010-03-02,530429,72365,45275,27090,5.107
2010-03-09,542939,71764,59938,11826,2.178
2010-03-16,553028,72588,62748,9840,1.779
2010-03-23,553525,77446,36741,40705,7.354
2010-03-30,574632,77268,32789,44479,7.74
2010-04-06,578148,69511,50547,18964,3.28
2010-04-13,595069,83380,38800,44580,7.492
2010-04-20,625129,97675,25380,72295,11.565
2010-04-27,609276,106051,21106,84945,13.942
2010-05-04,600207,106041,28868,77173,12.858
