Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2006-06-13,574241,73239,44193,29046,5.058
2006-06-20,555313,59513,43068,16445,2.961
2006-06-27,512823,56292,44000,12292,2.397
2006-07-03,512860,57993,49477,8516,1.66
2006-07-11,527642,64797,44927,19870,3.766
2006-07-18,530072,69219,40292,28927,5.457
2006-07-25,536928,69905,38269,31636,5.892
2006-08-01,540095,64911,41941,22970,4.253
2006-08-08,525146,65863,43093,22770,4.336
2006-08-15,514412,59180,49868,9312,1.81
2006-08-22,512816,49534,64124,-14590,2.845
2006-08-29,495137,52349,60559,-8210,1.658
2006-09-05,500500,50866,45494,5372,1.073
2006-09-12,500192,54690,49868,4822,0.964
2006-09-19,507320,49400,52135,-2735,0.539
2006-09-26,524294,53315,47866,5449,1.039
2006-10-03,571645,68935,40961,27974,4.894
2006-10-10,585610,77293,35265,42028,7.177
2006-10-17,612748,80174,32626,47548,7.76
2006-10-24,601882,77745,31922,45823,7.613
2006-10-31,566127,74103,31600,42503,7.508
2006-11-07,569489,71438,29742,41696,7.322
2006-11-14,539737,66407,29984,36423,6.748
2006-11-21,479959,64362,32345,32017,6.671
2006-11-28,479316,64664,33810,30854,6.437
2006-12-05,488917,67188,31731,35457,7.252
2006-12-12,478840,57862,35341,22521,4.703
2006-12-19,488929,57535,38002,19533,3.995
2006-12-26,509375,61850,33602,28248,5.546
2007-01-03,513744,61748,41659,20089,3.91
2007-01-09,526032,55438,44235,11203,2.13
2007-01-16,527089,52993,45336,7657,1.453
2007-01-23,537962,57272,44303,12969,2.411
2007-01-30,526759,55145,49093,6052,1.149
2007-02-06,532827,55446,51824,3622,0.68
2007-02-13,524970,56739,50843,5896,1.123
2007-02-20,515071,57369,52000,5369,1.042
2007-02-27,492314,72091,49802,22289,4.527
2007-03-06,474051,61373,49471,11902,2.511
2007-03-13,478199,62287,50789,11498,2.404
2007-03-20,484551,60320,61415,-1095,0.226
2007-03-27,489379,63120,64746,-1626,0.332
2007-04-03,495554,54331,69770,-15439,3.116
2007-04-10,480306,59698,63139,-3441,0.716
2007-04-17,469860,62836,49247,13589,2.892
2007-04-24,445887,67642,47285,20357,4.566
2007-05-01,452753,71841,51725,20116,4.443
2007-05-08,448225,67589,50573,17016,3.796
2007-05-15,461876,65602,51581,14021,3.036
2007-05-22,445752,59856,53227,6629,1.487
2007-05-29,451853,61980,49838,12142,2.687
2007-06-05,494312,76637,45326,31311,6.334
2007-06-12,503339,83536,41477,42059,8.356
2007-06-19,528433,92325,40916,51409,9.729
2007-06-26,495176,96953,41064,55889,11.287
2007-07-03,466463,87923,44899,43024,9.223
2007-07-10,482873,89533,44741,44792,9.276
2007-07-17,499203,91807,48942,42865,8.587
2007-07-24,524336,91120,49165,41955,8.002
2007-07-31,525529,92707,51389,41318,7.862
2007-08-07,524539,97108,48578,48530,9.252
2007-08-14,524094,95237,40328,54909,10.477
2007-08-21,504474,89330,43428,45902,9.099
2007-08-28,473334,86936,37783,49153,10.384
2007-09-04,479068,83923,34208,49715,10.377
2007-09-11,500032,80388,41470,38918,7.783
2007-09-18,508987,78935,45263,33672,6.615
2007-09-25,514428,78344,44503,33841,6.578
2007-10-02,533578,78001,48160,29841,5.593
2007-10-09,536739,74676,46727,27949,5.207
2007-10-16,538132,72378,46417,25961,4.824
2007-10-23,551037,71025,47345,23680,4.297
2007-10-30,558330,72240,45532,26708,4.784
2007-11-06,562246,71948,47508,24440,4.347
2007-11-13,565082,68754,48782,19972,3.534
2007-11-20,474922,69454,49923,19531,4.112
