Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
01/13/2012,1179,1183.25,1160,1160,-18.5,-1.57%,238472,476936
01/12/2012,1199.75,1206,1150,1178.5,-19.,-1.59%,241776,477015
01/11/2012,1221.5,1221.5,1195,1197.5,-26.25,-2.15%,175466,466143
01/10/2012,1224.5,1228.5,1214.5,1223.75,-2.,-0.16%,147287,460331
01/09/2012,1193.5,1227,1191.25,1225.75,36.25,+3.05%,183404,458618
01/06/2012,1198,1209,1188.25,1189.5,-11.75,-0.98%,122035,460433
01/05/2012,1221.5,1224.5,1200,1201.25,-20.25,-1.66%,142225,460256
01/04/2012,1218.25,1226,1211.75,1221.5,3.25,+0.27%,149993,461549
01/03/2012,1223.75,1235,1214.25,1218.25,19.75,+1.65%,164073,460650
12/30/2011,1186,1206.5,1185,1198.5,11,+0.93%,121312,459819
12/29/2011,1196.75,1201.75,1183.5,1187.5,-10.75,-0.90%,182439,461919
12/28/2011,1196.25,1209,1183.75,1198.25,-1.5,-0.13%,214608,469948
12/27/2011,1172.75,1206,1172.75,1199.75,36.75,+3.16%,222271,480007
12/23/2011,1160.75,1167.25,1156.5,1163,0.75,+0.06%,106744,499315
12/22/2011,1152.25,1168,1144.25,1162.25,8.5,+0.74%,187350,509655
12/21/2011,1144.5,1159,1132.25,1153.75,9.25,+0.81%,166482,524035
12/20/2011,1137,1149.75,1135.5,1144.5,7.5,+0.66%,146414,532222
12/19/2011,1137.25,1148.75,1131.75,1137,7,+0.62%,157196,545098
12/16/2011,1112.25,1130.5,1111.5,1130,18.25,+1.64%,191622,546759
12/15/2011,1100.75,1114,1100.25,1111.75,11.75,+1.07%,175176,551494
12/14/2011,1115.25,1119.25,1094.25,1100,-18.5,-1.65%,271984,553571
12/13/2011,1112,1127,1106.25,1118.5,6.5,+0.58%,210549,558278
12/12/2011,1108,1115,1095,1112,5,+0.45%,208252,556510
12/09/2011,1131.25,1133.5,1100.25,1107,-25.5,-2.25%,287704,559020
12/08/2011,1131.5,1136.5,1121.25,1132.5,1.5,+0.13%,216249,548328
12/07/2011,1130.5,1137,1123.75,1131,1.5,+0.13%,167045,544896
12/06/2011,1126,1131.75,1120.25,1129.5,3.25,+0.29%,154872,541370
12/05/2011,1140,1148.5,1122,1126.25,-9.5,-0.84%,154056,535273
12/02/2011,1130.25,1144.5,1128.25,1135.75,7.75,+0.69%,166182,530593
12/01/2011,1133.25,1143.75,1116.25,1128,-3.25,-0.29%,213881,527589
11/30/2011,1122.75,1146,1111.5,1131.25,6.25,+0.56%,187545,525284
11/29/2011,1124.25,1138.5,1115,1125,4,+0.36%,160639,522758
11/28/2011,1114.5,1127.25,1114,1121,14.5,+1.31%,146407,517083
11/25/2011,1120.5,1125.75,1102.75,1106.5,-16.,-1.43%,114752,517072
11/23/2011,1155,1158.5,1121,1122.5,-30.5,-2.65%,191915,515739
11/22/2011,1147.5,1155.75,1141,1153,5,+0.44%,144984,522610
11/21/2011,1171,1174.25,1145,1148,-20.25,-1.73%,127495,524359
11/18/2011,1169.75,1177.5,1152.75,1168.25,0,0.00%,124089,522365
11/17/2011,1186.75,1192,1162,1168.25,-19.5,-1.64%,166205,522939
11/16/2011,1199.75,1203,1182.75,1187.75,-12.5,-1.04%,139152,524578
11/15/2011,1178.25,1206.25,1178.25,1200.25,22,+1.87%,166233,529417
11/14/2011,1178,1193,1177,1178.25,2.75,+0.23%,118163,529058
11/11/2011,1168,1181,1168,1175.5,8,+0.69%,113824,526394
11/10/2011,1184.5,1191.25,1167,1167.5,-18.,-1.52%,159051,525211
11/09/2011,1205.5,1212,1183.5,1185.5,-19.5,-1.62%,155826,519382
11/08/2011,1203.25,1217.25,1199.75,1205,3.25,+0.27%,104495,515823
11/07/2011,1220.75,1223,1198,1201.75,-19.25,-1.58%,141277,518955
11/04/2011,1226.75,1231,1218.75,1221,-6.25,-0.51%,94325,512243
11/03/2011,1200.75,1231.5,1200.75,1227.25,24.5,+2.04%,172732,517996
11/02/2011,1201.75,1218.5,1196.5,1202.75,0.25,+0.02%,107181,518769
11/01/2011,1215.75,1223,1190,1202.5,-14.75,-1.21%,167307,518805
10/31/2011,1227,1229,1203.5,1217.25,-8.75,-0.71%,171136,521991
10/28/2011,1244,1251,1224,1226,-18.,-1.45%,213564,529623
10/27/2011,1219.5,1252.5,1219.5,1244,24.25,+1.99%,289972,529595
10/26/2011,1232.5,1242,1218.5,1219.75,-14.,-1.13%,211997,534165
10/25/2011,1234.25,1244.5,1225.5,1233.75,-1.5,-0.12%,218079,542926
