Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/14/2016,889,890,888,888,0,0.00%,150371,707933
03/11/2016,882.75,888.75,882.75,888,6.25,+0.71%,198127,700498
03/10/2016,880,882.5,875.5,881.75,1.75,+0.20%,184033,694971
03/09/2016,880,882.5,877.5,880,2.5,+0.28%,198472,698471
03/08/2016,872,877.5,870.75,877.5,4,+0.46%,169905,696854
03/07/2016,875,879.75,873,873.5,3,+0.34%,242405,694691
03/04/2016,860.5,871.75,860.5,870.5,14.25,+1.66%,310769,701541
03/03/2016,855,858,850.5,856.25,2,+0.23%,129612,702904
03/02/2016,850.25,857.5,849,854.25,3.5,+0.41%,201156,702242
03/01/2016,853,858.25,849.75,850.75,-2.25,-0.26%,182262,701548
02/29/2016,854,857,852,853,-2.,-0.23%,163113,695325
02/26/2016,860,862.5,854.5,855,-4.,-0.47%,249854,694633
02/25/2016,867,871,858.5,859,-8.5,-0.98%,296613,696646
02/24/2016,869.25,870.5,864.5,867.5,-1.75,-0.20%,293633,698980
02/23/2016,880,880.25,868,869.25,-11.75,-1.33%,344193,713828
02/22/2016,881.75,887.5,880.25,881,2.75,+0.31%,343640,724590
02/19/2016,879.5,881.75,877.75,878.25,-1.5,-0.17%,239183,732344
02/18/2016,882.25,882.75,878,879.75,-2.75,-0.31%,242258,735745
02/17/2016,879,885.25,876.75,882.5,2.75,+0.31%,353848,753457
02/16/2016,875.5,882.75,873.25,879.75,7,+0.80%,316658,746016
02/12/2016,873,875.5,868.5,872.75,-0.75,-0.09%,185913,735169
02/11/2016,862.25,874.25,862,873.5,11.25,+1.30%,263110,742559
02/10/2016,863.5,866.25,861.5,862.25,-1.,-0.12%,210538,736747
02/09/2016,862.75,866.5,859.5,863.25,0.75,+0.09%,258699,736994
02/08/2016,867.5,868.75,861.5,862.5,-5.,-0.58%,195302,725933
02/05/2016,875.75,879,867.25,867.5,-7.,-0.80%,266516,719936
02/04/2016,878,884.25,872.75,874.5,-2.25,-0.26%,308387,722608
02/03/2016,885.5,886,874.25,876.75,-9.5,-1.07%,245558,709968
02/02/2016,880.25,889.5,878.25,886.25,5.5,+0.62%,254971,715617
02/01/2016,883,883.25,876,880.75,-1.5,-0.17%,171790,702338
01/29/2016,868.75,883,867,882.25,14.5,+1.67%,221402,701145
01/28/2016,882.5,884.25,867.25,867.75,-15.25,-1.73%,251413,700492
01/27/2016,876,885,875.5,883,6.5,+0.74%,202051,696660
01/26/2016,879.75,882.5,875.5,876.5,-4.,-0.45%,171368,685068
01/25/2016,876.5,882,870.75,880.5,4,+0.46%,184678,683825
01/22/2016,879,886.5,874.5,876.5,-2.,-0.23%,169060,682455
01/21/2016,874.5,885.75,872.25,878.5,4.5,+0.51%,263813,680929
01/20/2016,882,883.75,870.5,874,-9.5,-1.08%,243473,667103
01/19/2016,881,888,880.5,883.5,4.5,+0.51%,194256,665889
01/15/2016,882.25,882.75,871,879,-3.25,-0.37%,192536,664847
01/14/2016,879,884.5,874.75,882.25,2.25,+0.26%,199650,667710
01/13/2016,875,880.75,871,880,5.5,+0.63%,180590,668783
01/12/2016,861.25,881.25,857.25,874.5,13.25,+1.54%,316321,671806
01/11/2016,865.5,869.75,859.5,861.25,-4.,-0.46%,166365,662600
01/08/2016,865,871,863.5,865.25,0.75,+0.09%,156356,667949
01/07/2016,864.5,868.75,858.25,864.5,-0.25,-0.03%,163149,669248
01/06/2016,856.5,868,852,864.75,7.5,+0.87%,220261,665787
01/05/2016,858.25,864.75,855.5,857.25,1.25,+0.15%,185669,658069
01/04/2016,863,867,853.25,856,-8.25,-0.95%,153765,651244
12/31/2015,868.75,873,863,864.25,-6.,-0.69%,107469,646002
12/30/2015,865.5,873.5,864,870.25,4.5,+0.52%,173910,645012
12/29/2015,863,872,861,865.75,4.5,+0.52%,226763,646657
12/28/2015,871,871.5,860.5,861.25,-11.75,-1.35%,184604,646042
12/24/2015,882,884.5,872.75,873,-7.75,-0.88%,124588,658041
12/23/2015,885.5,888.75,880.25,880.75,-4.75,-0.54%,190577,668333
12/22/2015,891,895.5,885.25,885.5,-6.,-0.67%,195510,680534
12/21/2015,892.75,897,887.5,891.5,-1.25,-0.14%,197053,683522
12/18/2015,877.75,894.5,873.5,892.75,15,+1.71%,339415,690214
