Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
05/13/2022,1712.25,1723.25,1712.25,1723.25,63,+3.79%,152809,700122
05/12/2022,1641.5,1664.25,1635.5,1660.25,10,+0.61%,160491,695907
05/11/2022,1629,1658,1629,1650.25,20.25,+1.24%,144067,702180
05/10/2022,1626,1641.5,1623.5,1630,9,+0.56%,117224,694454
05/09/2022,1652.5,1652.5,1615.25,1621,-34.5,-2.08%,170849,695756
05/06/2022,1671,1674,1654,1655.5,-23.,-1.37%,125236,700562
05/05/2022,1682.5,1699.5,1674.5,1678.5,8.75,+0.52%,130704,704163
05/04/2022,1659.5,1672.75,1652.5,1669.75,10.75,+0.65%,129232,702800
05/03/2022,1671.5,1688,1659,1659,-15.,-0.90%,133769,700856
05/02/2022,1712.25,1712.25,1664,1674,-34.25,-2.00%,154391,699931
04/29/2022,1711,1727.75,1707,1708.25,1.75,+0.10%,122579,695604
04/28/2022,1728.25,1734,1703.75,1706.5,-20.,-1.16%,135354,698682
04/27/2022,1706,1736,1700,1726.5,21.25,+1.25%,223552,705916
04/26/2022,1704.25,1726.25,1693.25,1705.25,1.75,+0.10%,211570,726717
04/25/2022,1715,1723.25,1685.75,1703.5,-12.5,-0.73%,242657,742655
04/22/2022,1747.5,1757.5,1704.25,1716,-32.25,-1.84%,273422,748824
04/21/2022,1747.5,1752.75,1728.25,1748.25,1.5,+0.09%,237761,766901
04/20/2022,1718,1750,1714.5,1746.75,30.25,+1.76%,236989,771468
04/19/2022,1712,1730,1705.25,1716.5,1.75,+0.10%,190947,762855
04/18/2022,1688.75,1720.5,1688.5,1714.75,32.5,+1.93%,191282,754848
04/14/2022,1678.5,1692.5,1670,1682.25,6.25,+0.37%,213201,747363
04/13/2022,1672.25,1681.25,1652,1676,5.75,+0.34%,262248,749138
04/12/2022,1658.75,1682.75,1657,1670.25,15,+0.91%,245560,752157
04/11/2022,1691,1697.5,1651.5,1655.25,-33.75,-2.00%,245962,760549
04/08/2022,1647.75,1689.75,1645.5,1689,43.5,+2.64%,257506,758841
04/07/2022,1620,1652.75,1614.75,1645.5,26,+1.61%,248003,758217
04/06/2022,1630,1643,1615,1619.5,-11.5,-0.71%,159349,755894
04/05/2022,1605,1635.25,1604.25,1631,28.75,+1.79%,144692,756785
04/04/2022,1584,1606,1576.75,1602.25,19.5,+1.23%,159145,755511
04/01/2022,1620.75,1628.5,1580.75,1582.75,-35.5,-2.19%,228547,756442
03/31/2022,1666.75,1680,1613.5,1618.25,-45.75,-2.75%,231511,761427
03/30/2022,1644,1683.75,1638.75,1664,21,+1.28%,135311,750375
03/29/2022,1662.5,1673,1622,1643,-21.25,-1.28%,198615,755139
03/28/2022,1703,1710,1661,1664.25,-46.,-2.69%,151100,758357
03/25/2022,1702,1714.25,1684.75,1710.25,9.5,+0.56%,120522,760920
03/24/2022,1722.25,1730,1697.5,1700.75,-18.,-1.05%,147712,761438
03/23/2022,1695.5,1736.5,1691,1718.75,22.25,+1.31%,144307,760179
03/22/2022,1692.75,1720.75,1686,1696.5,5.5,+0.33%,151658,754382
03/21/2022,1673,1710,1666.75,1691,23,+1.38%,146574,752062
03/18/2022,1669.75,1689,1651.5,1668,-0.5,-0.03%,125523,751867
03/17/2022,1649.25,1677.5,1647.25,1668.5,19.25,+1.17%,125533,751327
03/16/2022,1661,1681.25,1645.25,1649.25,-9.5,-0.57%,110548,745365
