Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/14/2011,1390.25,1396.75,1390.25,1390.5,3.5,+0.25%,144632,525735
07/13/2011,1363,1392.75,1361,1387,20.5,+1.50%,174188,521852
07/12/2011,1352.5,1366.5,1342,1366.5,14,+1.04%,159669,514257
07/11/2011,1356.25,1359.25,1343.75,1352.5,0.5,+0.04%,113464,518621
07/08/2011,1346.5,1355.25,1341.75,1352,6.5,+0.48%,109391,515623
07/07/2011,1331.25,1350,1331.25,1345.5,14.5,+1.09%,112268,520365
07/06/2011,1330,1336.75,1321.25,1331,-1.25,-0.09%,88350,520616
07/05/2011,1330.5,1340,1322,1332.25,10,+0.76%,106558,522467
07/01/2011,1308.5,1330,1307.25,1322.25,16,+1.22%,138138,525380
06/30/2011,1335.5,1342.5,1290,1306.25,-28.,-2.10%,145709,523387
06/29/2011,1331.5,1350,1326.5,1334.25,3.5,+0.26%,159853,525602
06/28/2011,1334,1346.25,1328,1330.75,1,+0.08%,177603,530785
06/27/2011,1318.25,1330.75,1310,1329.75,9.5,+0.72%,204480,544421
06/24/2011,1318.5,1328.75,1311.5,1320.25,2.5,+0.19%,211088,590235
06/23/2011,1331.25,1333.25,1292.75,1317.75,-12.5,-0.94%,188602,583503
06/22/2011,1348.75,1351.75,1320.5,1330.25,-18.5,-1.37%,184238,588337
06/21/2011,1338.25,1354.75,1337.75,1348.75,13,+0.97%,126724,592787
06/20/2011,1334.75,1346,1331.75,1335.75,2.75,+0.21%,121959,595575
06/17/2011,1350.5,1357.25,1330.5,1333,-17.5,-1.30%,170752,595225
06/16/2011,1370.25,1373,1348.5,1350.5,-17.5,-1.28%,165627,594689
06/15/2011,1367.75,1375.5,1354.5,1368,0,0.00%,182989,591338
06/14/2011,1382.25,1387,1353.5,1368,-14.75,-1.07%,195554,599556
06/13/2011,1385.25,1390.5,1378.5,1382.75,-4.5,-0.32%,151275,594294
06/10/2011,1396.25,1397.5,1377.25,1387.25,-6.5,-0.47%,178909,590261
06/09/2011,1400,1413.25,1386.25,1393.75,-7.75,-0.55%,214378,596330
06/08/2011,1392.25,1417,1385,1401.5,7.5,+0.54%,212760,595732
06/07/2011,1382.75,1394.75,1380.25,1394,10.75,+0.78%,194836,596874
06/06/2011,1415.75,1418.25,1382.25,1383.25,-31.25,-2.21%,167302,602804
06/03/2011,1406.75,1419.5,1404.5,1414.5,7.5,+0.53%,138443,604834
06/02/2011,1386,1411.5,1383.75,1407,20.75,+1.50%,194191,599336
06/01/2011,1377.5,1390,1370,1386.25,10.25,+0.74%,135637,579736
05/31/2011,1371.5,1391.25,1366.5,1376,-3.75,-0.27%,144598,578376
05/27/2011,1387.75,1394.25,1376.25,1379.75,-5.,-0.36%,116800,575686
05/26/2011,1378,1398.25,1377,1384.75,7.75,+0.56%,165192,573558
05/25/2011,1373,1387,1372.5,1377,4.75,+0.35%,116201,561129
05/24/2011,1373.75,1389,1365.75,1372.25,-1.5,-0.11%,135010,554958
05/23/2011,1386,1393,1366,1373.75,-6.5,-0.47%,123104,552953
05/20/2011,1377.25,1396,1365,1380.25,0.75,+0.05%,126471,553075
05/19/2011,1377,1389,1369.25,1379.5,0,0.00%,124844,549947
05/18/2011,1340.75,1387.5,1340.75,1379.5,38.5,+2.87%,189079,547695
05/17/2011,1324.75,1342.75,1312.25,1341,14.5,+1.09%,160635,545195
05/16/2011,1330,1344,1322.5,1326.5,-3.,-0.23%,105469,546858
05/13/2011,1344.25,1353,1321.75,1329.5,-13.25,-0.99%,130480,551315
