Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/14/2000,452.25,452.25,452.25,452.25,0.25,+0.06%,46698,126599
08/11/2000,452,452,452,452,6.25,+1.40%,94728,127361
08/10/2000,445.75,445.75,445.75,445.75,5.25,+1.19%,56770,124579
08/09/2000,440.5,440.5,440.5,440.5,-1.75,-0.40%,42218,126608
08/08/2000,442.25,442.25,442.25,442.25,8.25,+1.90%,57594,126688
08/07/2000,434,434,434,434,-3.,-0.69%,52878,126481
08/04/2000,437,437,437,437,-2.75,-0.63%,52686,126463
08/03/2000,439.75,439.75,439.75,439.75,-5.75,-1.29%,56782,126574
08/02/2000,445.5,445.5,445.5,445.5,3.5,+0.79%,53380,126871
08/01/2000,442,442,442,442,-4.,-0.90%,69424,126390
07/31/2000,446,446,446,446,-2.,-0.45%,76404,128316
07/28/2000,452.75,456.5,447,448,-4.5,-0.99%,107926,129877
07/27/2000,450,454.75,450,452.5,1.75,+0.39%,84104,129995
07/26/2000,452.5,454,447.25,450.75,-2.,-0.44%,71388,132982
07/25/2000,455,455.5,450.5,452.75,-4.25,-0.93%,91428,133616
07/24/2000,460.25,466,455.75,457,-3.25,-0.71%,88648,136156
07/21/2000,455.5,460.5,455.5,460.25,4.25,+0.93%,96490,136507
07/20/2000,452,458.25,452,456,3.5,+0.77%,81350,140421
07/19/2000,453,457.5,451,452.5,-3.,-0.66%,111708,143157
07/18/2000,458,459,455,455.5,-2.,-0.44%,70656,143720
07/17/2000,460.5,461,455.25,457.5,-4.5,-0.97%,82076,144658
07/14/2000,466.5,467.5,459.25,462,-4.5,-0.96%,87090,144773
07/13/2000,472,474.5,466,466.5,-5.75,-1.22%,80806,147168
07/12/2000,469.5,475,465,472.25,2.75,+0.59%,102378,145435
07/11/2000,473.5,475,469,469.5,-4.,-0.84%,71494,144578
07/10/2000,469.75,474,455,473.5,0.25,+0.05%,88448,147634
07/07/2000,468.75,480,468.75,473.25,4,+0.85%,80000,145783
07/06/2000,473.25,476.5,467.5,469.25,-5.5,-1.16%,114788,146440
07/05/2000,472.5,477.5,470,474.75,2.25,+0.48%,78124,147896
07/03/2000,482.75,482.75,467,472.5,-10.25,-2.12%,101560,148755
06/30/2000,493,494,480.5,482.75,-10.,-2.03%,142328,152181
06/29/2000,490.5,496.5,490.5,492.75,3.25,+0.66%,136918,151569
06/28/2000,494.5,495.25,488.5,489.5,-4.,-0.81%,141336,155897
06/27/2000,493,498.5,492,493.5,0.5,+0.10%,108028,156455
06/26/2000,488,494,484,493,3,+0.61%,125890,156956
06/23/2000,491.75,493,488.5,490,-2.,-0.41%,106030,161071
06/22/2000,497,500.5,491,492,-4.,-0.81%,83210,163336
06/21/2000,491,500,491,496,4.5,+0.92%,106182,165238
06/20/2000,497.5,498.25,489.5,491.5,-6.5,-1.31%,119340,163601
06/19/2000,507,507,496.25,498,-3.25,-0.65%,97406,165188
06/16/2000,504,507.5,500.5,501.25,0.5,+0.10%,115500,167338
06/15/2000,501,506,500.5,500.75,-0.5,-0.10%,137214,167420
06/14/2000,506,506.5,493.5,501.25,-5.25,-1.04%,219628,166638
06/13/2000,508.5,511.25,505,506.5,-2.25,-0.44%,137876,170583
06/12/2000,511,514.25,501.5,508.75,-13.5,-2.58%,171792,175039
06/09/2000,523,525.5,520,522.25,-1.,-0.19%,92704,175807
06/08/2000,523.5,527.5,521,523.25,-1.5,-0.29%,79406,176616
06/07/2000,536,537.25,520.5,524.75,-8.5,-1.59%,121650,177848
06/06/2000,532,533.5,524.5,533.25,1.75,+0.33%,97268,178741
06/05/2000,539.25,542.75,529,531.5,-4.25,-0.79%,97742,179763
06/02/2000,524.75,536,524,535.75,11,+2.10%,88288,181177
06/01/2000,525.5,527.75,524.5,524.75,5.25,+1.01%,78330,180072
05/31/2000,519,522.5,517.75,519.5,0.75,+0.14%,90886,177638
05/30/2000,524,524.5,514,518.75,-17.5,-3.26%,143526,179235
05/26/2000,529.5,536.5,529.5,536.25,6.75,+1.27%,86774,183710
05/25/2000,546,547,527,529.5,-15.75,-2.89%,209492,185837
05/24/2000,548,549,542.75,545.25,-6.75,-1.22%,112000,196409
05/23/2000,553,557,551.25,552,-4.,-0.72%,69994,198558
05/22/2000,555.5,562.5,551.5,556,-1.,-0.18%,85508,196570
05/19/2000,550,557.75,549.5,557,6.5,+1.18%,75096,194802
05/18/2000,548.75,563,548.5,550.5,6,+1.10%,161058,193981
05/17/2000,546.25,548,540,544.5,-3.,-0.55%,116438,194078
05/16/2000,552,555.25,546,547.5,-5.75,-1.04%,89420,196485
05/15/2000,564.5,564.5,541,553.25,-16.25,-2.85%,159826,197866
05/12/2000,570,570.5,563,569.5,-2.25,-0.39%,81798,202592
05/11/2000,571.5,574,567,571.75,-1.25,-0.22%,98708,199896
05/10/2000,560.75,575.5,559.75,573,14.5,+2.60%,127612,197709
05/09/2000,560.25,561.5,557.25,558.5,-3.,-0.53%,92240,193358
05/08/2000,573.5,573.5,557,561.5,-7.5,-1.32%,122406,194414
05/05/2000,572,572,565.5,569,-6.,-1.04%,117382,196826
05/04/2000,575.5,580,569,575,0.25,+0.04%,108258,197173
05/03/2000,571.5,584.5,571.5,574.75,6.75,+1.19%,163824,196164
05/02/2000,570,575,566,568,-2.25,-0.39%,113212,192833
05/01/2000,550,572,550,570.25,28.25,+5.21%,217736,190859
04/28/2000,549.5,550.5,537,542,-6.25,-1.14%,178874,182692
04/27/2000,556.5,556.5,547.5,548.25,-8.5,-1.53%,154046,189466
04/26/2000,562.5,564,556.5,556.75,-3.,-0.54%,132622,194307
04/25/2000,561.25,564,557.5,559.75,-0.25,-0.04%,131360,196071
