Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/12/2008,1235,1490,1235,1490,274,+22.53%,142752,374380
09/11/2008,1191,1218.25,1170.75,1216,34.5,+2.92%,116502,371678
09/10/2008,1203,1206,1181.5,1181.5,-27.5,-2.27%,85406,375294
09/09/2008,1192,1210.25,1163.75,1209,14.5,+1.21%,135671,376479
09/08/2008,1194.5,1200.5,1178,1194.5,14.5,+1.23%,122498,368810
09/05/2008,1210,1215.75,1174.75,1180,-54.,-4.38%,152871,367608
09/04/2008,1251.25,1260,1233.75,1234,-17.,-1.36%,89934,368824
09/03/2008,1311,1315.5,1231.75,1251,-50.5,-3.88%,138192,368813
09/02/2008,1306,1306,1265.5,1301.5,-30.5,-2.29%,128118,370781
08/29/2008,1332.5,1348.5,1328,1332,-0.5,-0.04%,67507,372767
08/28/2008,1348,1350,1314.5,1332.5,-15.5,-1.15%,108151,375330
08/27/2008,1337.75,1364.5,1325.75,1348,10.5,+0.79%,135487,379336
08/26/2008,1337,1346.5,1302,1337.5,-1.75,-0.13%,104836,382481
08/25/2008,1341.5,1363,1331,1339.25,18.25,+1.38%,115146,388429
08/22/2008,1341,1341,1308.25,1321,-20.,-1.49%,107462,384748
08/21/2008,1294.75,1363.75,1291,1341,47.25,+3.65%,127303,394882
08/20/2008,1274.75,1309,1267.75,1293.75,26.75,+2.11%,158118,392780
08/19/2008,1277.5,1331.25,1250,1267,-12.,-0.94%,133985,390464
08/18/2008,1220,1281.5,1219.75,1279,67.5,+5.57%,93373,388245
08/15/2008,1265,1267,1196,1211.5,-53.75,-4.25%,92442,390732
08/14/2008,1284,1296,1233.5,1265.25,-12.25,-0.96%,123381,390461
08/13/2008,1213.75,1277.5,1206.75,1277.5,70,+5.80%,101043,394462
08/12/2008,1195.25,1217.75,1177,1207.5,18,+1.51%,120834,392492
08/11/2008,1184.5,1196.5,1163.75,1189.5,12.5,+1.06%,106175,392103
08/08/2008,1235.5,1245.5,1169.5,1177,-57.5,-4.66%,117011,392336
08/07/2008,1218.25,1250,1214,1234.5,21,+1.73%,115187,390723
08/06/2008,1257,1265.25,1190.25,1213.5,-45.5,-3.61%,162539,390564
08/05/2008,1275.25,1297,1241.25,1259,-26.5,-2.06%,147495,393411
08/04/2008,1345,1349.75,1285.5,1285.5,-70.,-5.16%,108156,393205
08/01/2008,1393.5,1401,1353.5,1355.5,-38.75,-2.78%,108622,397766
