Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
11/14/2016,980.75,982.25,968,971,-7.5,-0.77%,147864,614953
11/11/2016,997,1005.5,969.5,978.5,-10.5,-1.06%,341159,617389
11/10/2016,982.25,1007.75,982,989,7,+0.71%,294938,621422
11/09/2016,1000,1007,975.5,982,-19.75,-1.97%,273166,616639
11/08/2016,989.5,1011.25,989,1001.75,12.5,+1.26%,169665,620641
11/07/2016,981.75,992.25,981.75,989.25,7.75,+0.79%,112769,613246
11/04/2016,980.5,985.5,975,981.5,1.75,+0.18%,110499,615066
11/03/2016,976.5,984.5,976.5,979.75,3,+0.31%,118431,610832
11/02/2016,983,986.25,973.5,976.75,-7.5,-0.76%,147505,611143
11/01/2016,1002,1006.25,983,984.25,-18.,-1.80%,178518,615146
10/31/2016,1002,1008,996.25,1002.25,1,+0.10%,182733,625922
10/28/2016,1013,1017.5,999.5,1001.25,-13.,-1.28%,266982,626605
10/27/2016,1008.5,1020,1002.75,1014.25,4.25,+0.42%,367843,636781
10/26/2016,990.25,1011,988.75,1010,19.25,+1.94%,409867,634481
10/25/2016,991.25,997,981.25,990.75,-1.25,-0.13%,399808,639067
10/24/2016,982.75,999.75,980,992,9,+0.92%,383308,639991
10/21/2016,976.25,984.25,974.5,983,7.5,+0.77%,229057,641765
10/20/2016,981.25,989.75,973.25,975.5,-6.,-0.61%,255812,696287
10/19/2016,972,982.75,971,981.5,9,+0.93%,234081,689782
10/18/2016,977.5,987,971.5,972.5,-5.75,-0.59%,318671,687868
10/17/2016,961.75,979,961,978.25,15.75,+1.64%,257769,683707
10/14/2016,955.5,974.25,952,962.5,6.25,+0.65%,319680,688004
10/13/2016,946,959.5,937.25,956.25,10.75,+1.14%,301576,684059
10/12/2016,953,971.25,943.25,945.5,-8.75,-0.92%,404568,665034
10/11/2016,953.5,960.75,951.5,954.25,-0.25,-0.03%,259602,652265
10/10/2016,955.75,964.25,950,954.5,-2.25,-0.24%,224616,655626
10/07/2016,958.75,973.25,955.25,956.75,-1.75,-0.18%,308425,647884
10/06/2016,956,959.75,947.25,958.5,1.75,+0.18%,182677,650985
10/05/2016,963.5,967.5,950.5,956.75,-6.75,-0.70%,226628,647803
10/04/2016,970.75,972,960.25,963.5,-9.5,-0.98%,196300,651042
10/03/2016,952.5,975,946.5,973,19,+1.99%,206731,653345
09/30/2016,950,958.5,943,954,3.75,+0.39%,244922,644106
09/29/2016,947,957.25,946,950.25,4.75,+0.50%,150807,647554
09/28/2016,951.75,955.75,944.5,945.5,-7.,-0.73%,184786,647428
09/27/2016,946.75,953.5,934,952.5,7.25,+0.77%,250637,645605
09/26/2016,951.5,960.25,943.75,945.25,-9.75,-1.02%,163448,640698
09/23/2016,975,976.25,952.5,955,-21.5,-2.20%,212422,647215
09/22/2016,975,983.5,970.25,976.5,1,+0.10%,128344,644069
09/21/2016,988.25,990.25,971.5,975.5,-14.25,-1.44%,161115,643935
09/20/2016,973.5,994,970.75,989.75,17.25,+1.77%,178212,650105
09/19/2016,970.5,981.25,966.25,972.5,6.5,+0.67%,131755,642138
09/16/2016,949,969,945.75,966,15.5,+1.63%,159626,638759
09/15/2016,943,953,941.25,950.5,7.75,+0.82%,119705,635649
09/14/2016,944.25,948,940.5,942.75,-1.25,-0.13%,171875,635464
09/13/2016,965,971,942.5,944,-20.25,-2.10%,211806,625277
09/12/2016,978,990,958.75,964.25,-16.,-1.63%,204171,621132
09/09/2016,977.5,983,972,980.25,3.5,+0.36%,115764,629088
09/08/2016,976.5,983.75,970.25,976.75,1.25,+0.13%,130879,626078
09/07/2016,958.75,978.25,958.25,975.5,15.75,+1.64%,119911,622903
09/06/2016,952.5,964,946.5,959.75,7.25,+0.76%,121558,628449
09/02/2016,945,955.5,944.5,952.5,8.75,+0.93%,98255,629263
09/01/2016,942.25,948.5,937,943.75,0.75,+0.08%,112892,631189
08/31/2016,952,956.25,938,943,-7.75,-0.82%,148891,629954
08/30/2016,964.5,968.5,946.5,950.75,-13.5,-1.40%,156857,632779
08/29/2016,967.5,974,961.25,964.25,-3.,-0.31%,119523,636626
08/26/2016,974.25,980.25,960.5,967.25,-8.25,-0.85%,184689,645919
08/25/2016,1004,1005,974.75,975.5,-29.75,-2.96%,212656,665926
08/24/2016,1013,1014,996.25,1005.25,-8.25,-0.81%,137523,665625
08/23/2016,1014.5,1016.75,1006.5,1013.5,-2.25,-0.22%,113377,669874
08/22/2016,1001,1020,999,1015.75,11.25,+1.12%,143257,675749
08/19/2016,1014.5,1017,998,1004.5,-10.,-0.99%,132178,671798
08/18/2016,1016,1017.5,996.25,1014.5,-1.5,-0.15%,180418,675638
08/17/2016,1008.5,1017.25,1002.75,1016,8.75,+0.87%,118179,669054
08/16/2016,1008.5,1015.75,1001,1007.25,-2.,-0.20%,141715,670757
08/15/2016,981.5,1011,980,1009.25,27.5,+2.80%,158904,672742
08/12/2016,983,992.75,962.5,981.75,-2.25,-0.23%,231723,673704
08/11/2016,982.25,990,978.25,984,1.75,+0.18%,104460,678187
08/10/2016,988,997.75,972.75,982.25,-5.75,-0.58%,142135,677611
