Date,SF00,SH00,SK00,SN00,SQ00,SU00,SX00,SF01,SH01,SK01,SN01,SQ01,SU01,SX01,SF02,SH02,SK02,SN02,SQ02,SU02,SX02,SF03,SH03,SK03,SN03,SQ03,SU03,SX03,SF04,SH04,SK04,SN04,SQ04,SU04,SX04,SF05,SH05,SK05,SN05,SQ05,SU05,SX05,SF06,SH06,SK06,SN06,SQ06,SU06,SX06,SF07,SH07,SK07,SN07,SQ07,SU07,SX07,SF08,SH08,SK08,SN08,SQ08,SU08,SX08,SF09,SH09,SK09,SN09,SQ09,SU09,SX09,SF10,SH10,SK10,SN10,SQ10,SU10,SX10,SF11,SH11,SK11,SN11,SQ11,SU11,SX11,SF12,SH12,SK12,SN12,SQ12,SU12,SX12,SF13,SH13,SK13,SN13,SQ13,SU13,SX13,SF14,SH14,SK14,SN14,SQ14,SU14,SX14,SF15,SH15,SK15,SN15,SQ15,SU15,SX15,SF16,SH16,SK16,SN16,SQ16,SU16,SX16,SF17,SH17,SK17,SN17,SQ17,SU17,SX17,SF18,SH18,SK18,SN18,SQ18,SU18,SX18,SF19,SH19,SK19,SN19,SQ19,SU19,SX19,SF20,SH20,SK20,SN20,SQ20,SU20,SX20,SF21,SH21,SK21,SN21,SQ21,SU21,SX21,SF22,SH22,SK22,SN22,SQ22,SU22,SX22,SF23,SH23,SK23,SN23,SQ23,SU23,SX23,SF24,SH24,SK24,SN24,SQ24,SU24,SX24
2000-01-03,"(466.0, 455.75)","(474.75, 463.25)","(482.0, 471.0)","(489.0, 477.5)","(488.0, 478.5)","(489.5, 480.0)","(497.0, 485.5)",,,,,,,"(507.5, 507.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-04,"(466.0, 456.5)","(474.0, 465.0)","(481.5, 473.0)","(487.0, 478.5)","(486.0, 482.0)","(486.0, 482.0)","(495.5, 487.0)",,,,,,,"(511.5, 511.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-05,"(470.0, 462.5)","(478.0, 469.75)","(485.5, 477.75)","(491.5, 484.0)","(491.5, 486.0)","(491.75, 487.0)","(499.5, 492.0)",,,,,,,"(517.5, 517.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-06,"(473.0, 468.0)","(480.5, 474.0)","(488.5, 483.25)","(495.0, 489.5)","(495.5, 489.0)","(497.0, 491.0)","(503.0, 497.5)",,"(507.5, 507.5)",,,,,"(516.5, 516.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-07,"(472.0, 465.5)","(479.5, 473.25)","(487.5, 481.25)","(494.25, 488.0)","(494.75, 491.5)","(497.0, 490.5)","(502.75, 496.5)","(510.0, 504.5)","(511.0, 511.0)",,,,,"(519.5, 519.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-10,"(469.25, 465.0)","(476.5, 472.0)","(484.75, 480.0)","(491.75, 487.0)","(493.0, 488.0)","(494.0, 490.5)","(500.5, 496.0)","(503.75, 503.75)","(507.0, 507.0)",,,,,"(518.0, 515.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-11,"(470.75, 464.0)","(478.75, 471.5)","(486.75, 479.5)","(493.5, 486.5)","(495.0, 488.0)","(497.0, 490.0)","(504.5, 497.0)","(508.0, 504.0)","(512.0, 510.0)",,,,,"(528.0, 520.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-12,"(479.0, 465.25)","(487.0, 473.75)","(493.0, 481.5)","(500.0, 489.0)","(501.0, 496.5)","(504.0, 493.0)","(510.5, 500.0)","(515.0, 512.0)","(515.0, 515.0)",,,,,"(525.0, 523.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-13,"(483.5, 471.0)","(491.0, 479.0)","(499.0, 487.0)","(507.0, 494.5)","(508.0, 497.0)","(509.5, 499.0)","(517.5, 505.0)","(523.0, 513.5)","(527.0, 517.5)",,,,,"(535.0, 530.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-14,"(490.0, 480.0)","(498.0, 487.5)","(506.0, 495.5)","(514.0, 503.5)","(515.0, 506.0)","(516.0, 507.5)","(524.5, 514.0)","(530.0, 521.0)","(534.0, 526.0)",,"(538.0, 535.0)",,,"(542.0, 537.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
