Date,Contract,High,Low,Average
2000-01-03,SF00,466.0,455.75,460.875
2000-01-04,SF00,466.0,456.5,461.25
2000-01-05,SF00,470.0,462.5,466.25
2000-01-06,SF00,473.0,468.0,470.5
2000-01-07,SF00,472.0,465.5,468.75
2000-01-10,SF00,469.25,465.0,467.125
2000-01-11,SF00,470.75,464.0,467.375
2000-01-12,SH00,487.0,473.75,480.375
2000-01-13,SH00,491.0,479.0,485.0
2000-01-14,SH00,498.0,487.5,492.75
2000-01-18,SH00,503.0,486.5,494.75
2000-01-19,SH00,504.0,497.75,500.875
2000-01-20,SH00,506.75,497.5,502.125
2000-01-21,SH00,507.5,501.0,504.25
2000-01-24,SH00,515.25,508.0,511.625
2000-01-25,SH00,517.5,510.5,514.0
2000-01-26,SH00,516.25,511.75,514.0
2000-01-27,SH00,528.0,508.0,518.0
2000-01-28,SH00,529.5,521.5,525.5
2000-01-31,SH00,519.5,505.0,512.25
2000-02-01,SH00,511.5,503.0,507.25
2000-02-02,SH00,513.0,505.5,509.25
2000-02-03,SH00,506.0,498.0,502.0
2000-02-04,SH00,506.0,495.0,500.5
2000-02-07,SH00,510.25,505.0,507.625
2000-02-08,SH00,505.5,499.0,502.25
2000-02-09,SH00,504.5,496.75,500.625
2000-02-10,SH00,514.0,502.5,508.25
2000-02-11,SH00,514.0,504.25,509.125
2000-02-14,SH00,510.25,503.75,507.0
2000-02-15,SH00,510.75,501.5,506.125
2000-02-16,SH00,512.5,503.25,507.875
2000-02-17,SH00,510.0,504.5,507.25
2000-02-18,SH00,516.0,507.75,511.875
2000-02-22,SH00,519.5,512.5,516.0
2000-02-23,SH00,512.5,499.5,506.0
2000-02-24,SH00,505.0,496.0,500.5
2000-02-25,SH00,505.5,492.0,498.75
2000-02-28,SH00,501.0,493.0,497.0
2000-02-29,SH00,502.0,494.5,498.25
2000-03-01,SH00,504.0,495.5,499.75
2000-03-02,SH00,502.5,492.5,497.5
2000-03-03,SH00,507.0,501.0,504.0
2000-03-06,SH00,509.0,501.5,505.25
2000-03-07,SH00,510.25,501.75,506.0
2000-03-08,SH00,508.75,501.5,505.125
2000-03-09,SH00,510.0,506.25,508.125
2000-03-10,SK00,519.5,508.0,513.75
2000-03-13,SK00,524.0,511.0,517.5
2000-03-14,SK00,531.0,522.5,526.75
2000-03-15,SK00,530.0,524.0,527.0
2000-03-16,SK00,534.5,522.5,528.5
2000-03-17,SK00,538.5,528.0,533.25
2000-03-20,SK00,529.5,523.5,526.5
2000-03-21,SK00,527.75,522.5,525.125
2000-03-22,SK00,531.5,526.0,528.75
2000-03-23,SK00,531.75,521.0,526.375
2000-03-24,SK00,534.0,519.5,526.75
2000-03-27,SK00,535.75,527.5,531.625
2000-03-28,SK00,531.75,525.5,528.625
2000-03-29,SK00,529.75,523.5,526.625
2000-03-30,SK00,538.0,527.75,532.875
2000-03-31,SK00,548.5,535.75,542.125
2000-04-03,SK00,554.0,544.0,549.0
2000-04-04,SK00,548.5,529.0,538.75
2000-04-05,SK00,543.75,535.5,539.625
2000-04-06,SK00,543.5,530.5,537.0
2000-04-07,SK00,540.0,526.0,533.0
2000-04-10,SK00,535.5,530.0,532.75
2000-04-11,SK00,535.5,527.5,531.5
2000-04-12,SK00,538.0,525.25,531.625
2000-04-13,SK00,541.0,534.5,537.75
2000-04-14,SK00,549.0,532.0,540.5
2000-04-17,SK00,535.0,526.0,530.5
2000-04-18,SK00,535.0,529.5,532.25
2000-04-19,SK00,538.0,532.25,535.125
2000-04-20,SK00,538.0,529.75,533.875
2000-04-24,SK00,544.5,533.0,538.75
2000-04-25,SK00,547.0,541.0,544.0
2000-04-26,SK00,547.5,539.5,543.5
2000-04-27,SK00,541.0,531.5,536.25
2000-04-28,SK00,534.0,522.5,528.25
2000-05-01,SK00,557.0,533.0,545.0
2000-05-02,SK00,560.0,552.25,556.125
2000-05-03,SK00,570.5,554.75,562.625
2000-05-04,SK00,563.0,555.0,559.0
2000-05-05,SK00,557.75,551.0,554.375
2000-05-08,SK00,551.5,544.0,547.75
2000-05-09,SK00,547.25,543.5,545.375
2000-05-10,SK00,562.0,549.0,555.5
2000-05-11,SK00,561.0,553.75,557.375
2000-05-12,SN00,567.5,559.5,563.5
2000-05-15,SN00,560.0,537.0,548.5
2000-05-16,SN00,551.75,542.0,546.875
2000-05-17,SN00,545.0,536.5,540.75
2000-05-18,SN00,560.5,543.25,551.875
2000-05-19,SN00,555.0,546.0,550.5
2000-05-22,SN00,560.0,547.25,553.625
2000-05-23,SN00,554.5,548.0,551.25
2000-05-24,SN00,548.0,539.75,543.875
2000-05-25,SN00,544.0,525.0,534.5
2000-05-26,SN00,535.0,527.0,531.0
2000-05-30,SN00,526.5,512.25,519.375
2000-05-31,SN00,521.0,515.75,518.375
2000-06-01,SN00,525.5,522.0,523.75
2000-06-02,SN00,534.5,518.5,526.5
2000-06-05,SN00,542.0,526.0,534.0
2000-06-06,SN00,532.0,521.5,526.75
2000-06-07,SN00,535.0,517.5,526.25
2000-06-08,SN00,525.5,518.5,522.0
2000-06-09,SN00,523.75,517.75,520.75
2000-06-12,SN00,515.5,501.5,508.5
2000-06-13,SN00,514.5,506.5,510.5
2000-06-14,SN00,515.0,499.5,507.25
2000-06-15,SN00,517.0,508.75,512.875
2000-06-16,SN00,514.5,504.0,509.25
2000-06-19,SN00,508.0,502.0,505.0
2000-06-20,SN00,505.0,500.0,502.5
2000-06-21,SN00,510.0,500.0,505.0
