Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
01/14/2014,1327,1339,1314.75,1339,12.25,+0.92%,220643,594132
01/13/2014,1301.75,1327.5,1296,1326.75,23,+1.76%,196646,593690
01/10/2014,1297.25,1320,1297.25,1303.75,7.5,+0.58%,239757,587127
01/09/2014,1300.75,1307.5,1296.25,1296.25,-4.5,-0.35%,128545,579975
01/08/2014,1299.25,1304.5,1292.25,1300.75,1.25,+0.10%,147485,574651
01/07/2014,1297,1305.5,1287.25,1299.5,2.75,+0.21%,148924,569064
01/06/2014,1291.25,1301.5,1290,1296.75,7.5,+0.58%,107518,564362
01/03/2014,1287,1294,1281.75,1289.25,2.25,+0.17%,154822,564100
01/02/2014,1312.5,1312.5,1280.25,1287,-25.5,-1.94%,185240,571210
12/31/2013,1327.75,1331,1309,1312.5,-15.75,-1.19%,125649,575756
12/30/2013,1324.75,1333.25,1319.25,1328.25,-3.25,-0.24%,162488,577637
12/27/2013,1318.75,1332.5,1318.75,1331.5,12.75,+0.97%,118676,589057
12/26/2013,1332,1332,1316.75,1318.75,-15.,-1.12%,129903,608358
12/24/2013,1328.5,1338,1325,1333.75,5.25,+0.40%,60604,628600
12/23/2013,1343.5,1347,1327,1328.5,-10.5,-0.78%,148063,632290
12/20/2013,1325.75,1345,1321.5,1339,12,+0.90%,190687,634667
12/19/2013,1325,1329.75,1315.75,1327,3,+0.23%,249081,643114
12/18/2013,1344,1351,1323.25,1324,-22.5,-1.67%,260654,642540
12/17/2013,1336,1350,1328.5,1346.5,8.75,+0.65%,238841,650861
12/16/2013,1328,1343.5,1319,1337.75,10.25,+0.77%,197650,644866
12/13/2013,1323,1328,1312.25,1327.5,3.75,+0.28%,143673,638677
12/12/2013,1343,1347,1318.5,1323.75,-20.25,-1.51%,295952,639987
12/11/2013,1339.25,1345.5,1334.5,1344,5.75,+0.43%,197590,642104
12/10/2013,1342.75,1353.5,1330.5,1338.25,-5.5,-0.41%,316623,641333
12/09/2013,1324.75,1346.75,1324.5,1343.75,18.25,+1.38%,238641,633121
12/06/2013,1328,1328,1316.5,1325.5,-2.5,-0.19%,176116,627208
12/05/2013,1328,1333,1316,1328,-1.5,-0.11%,202269,621987
12/04/2013,1320,1334.5,1311.5,1329.5,9.75,+0.74%,217787,619404
12/03/2013,1320.75,1329,1311.25,1319.75,-1.5,-0.11%,199498,617952
12/02/2013,1335.75,1346,1319.25,1321.25,-15.25,-1.14%,184413,620152
11/29/2013,1328.5,1339.5,1327,1336.5,16.5,+1.25%,116230,618941
11/27/2013,1327.5,1341,1318.25,1320,-9.25,-0.70%,211741,611551
11/26/2013,1327,1330.75,1316.75,1329.25,0,0.00%,203036,606008
