Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/12/2021,1425,1425,1395.75,1415.75,0.25,+0.02%,181809,857803
03/11/2021,1407.75,1421.75,1407.75,1415.5,4,+0.28%,182035,857327
03/10/2021,1441.25,1441.5,1411.25,1411.5,-29.75,-2.06%,241471,858368
03/09/2021,1442.25,1443.5,1430,1441.25,3.5,+0.24%,211524,866929
03/08/2021,1447,1463,1436,1437.75,3.5,+0.24%,188456,868715
03/05/2021,1414.25,1437.25,1414.25,1434.25,19,+1.34%,183338,862862
03/04/2021,1418.75,1441,1409.5,1415.25,4.5,+0.32%,259283,858765
03/03/2021,1412,1417.5,1400.25,1410.75,-3.25,-0.23%,158924,850993
03/02/2021,1395,1416,1383.5,1414,21.5,+1.54%,193657,848466
03/01/2021,1415.75,1422,1392,1392.5,-12.75,-0.91%,198731,852350
02/26/2021,1404,1408.25,1380,1405.25,-0.75,-0.05%,199320,849038
02/25/2021,1423.5,1443,1391.75,1406,-17.75,-1.25%,354360,853875
02/24/2021,1407.25,1426.5,1406.75,1423.75,17.75,+1.26%,289109,866047
02/23/2021,1383.75,1425,1380.5,1406,22.25,+1.61%,356769,889784
02/22/2021,1384.75,1388.5,1371,1383.75,6.5,+0.47%,327686,889203
02/19/2021,1376.25,1388.75,1366.5,1377.25,2.25,+0.16%,315030,894297
02/18/2021,1385,1391.25,1370,1375,-8.75,-0.63%,250159,913868
02/17/2021,1386.25,1390,1376.25,1383.75,-1.,-0.07%,188473,914252
02/16/2021,1385.75,1394,1373.75,1384.75,12.75,+0.93%,250009,910575
02/12/2021,1368.5,1377.25,1362,1372,4.5,+0.33%,187502,928591
02/11/2021,1352.75,1379.75,1337.25,1367.5,13.5,+1.00%,286252,931486
02/10/2021,1404.5,1404.75,1352.25,1354,-47.75,-3.41%,354955,926135
02/09/2021,1391,1409.5,1377.5,1401.75,14,+1.01%,376553,916791
02/08/2021,1368.75,1392.5,1364.75,1387.75,21,+1.54%,276711,910009
02/05/2021,1370.75,1382.75,1365.5,1366.75,-5.75,-0.42%,253325,915730
02/04/2021,1374,1381.5,1364.5,1372.5,1.25,+0.09%,217666,922012
02/03/2021,1354.5,1372.5,1342.5,1371.25,16.5,+1.22%,197554,924076
02/02/2021,1366,1372,1341.5,1354.75,-10.5,-0.77%,193977,922823
02/01/2021,1375,1383,1349.25,1365.25,-4.75,-0.35%,229124,925109
01/29/2021,1353.25,1376.75,1335.5,1370,16.75,+1.24%,274400,925030
01/28/2021,1371.75,1391.25,1345.5,1353.25,-21.5,-1.56%,294960,924526
01/27/2021,1376,1394.75,1364.5,1374.75,4.5,+0.33%,325713,927112
01/26/2021,1348.25,1376.5,1333.5,1370.25,26.75,+1.99%,217115,934794
01/25/2021,1308.75,1352.25,1298,1343.5,31.75,+2.42%,263142,928633
01/22/2021,1367,1367,1305.25,1311.75,-58.5,-4.27%,374408,932257
01/21/2021,1369,1387,1365.5,1370.25,0.75,+0.05%,202545,942024
01/20/2021,1384.5,1384.5,1352,1369.5,-16.25,-1.17%,331299,942599
01/19/2021,1419,1421.25,1383.25,1385.75,-31.,-2.19%,249685,941826
01/15/2021,1432.25,1434.5,1413.5,1416.75,-13.75,-0.96%,206928,949528
01/14/2021,1406.5,1435.75,1403,1430.5,24.25,+1.72%,234995,948241
01/13/2021,1424,1436.5,1403.25,1406.25,-12.,-0.85%,255329,937391
01/12/2021,1372.5,1428.25,1354,1418.25,45.75,+3.33%,311619,935394
01/11/2021,1379.25,1388.75,1354,1372.5,-2.25,-0.16%,261480,933643
01/08/2021,1359.75,1386,1348.5,1374.75,19.5,+1.44%,249405,943488
