Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
05/14/2003,644,644,643.5,643.5,1,+0.16%,132260,229542
05/13/2003,639,642.5,639,642.5,0.25,+0.04%,94250,228340
05/12/2003,638,642.25,638,642.25,6,+0.94%,135252,230283
05/09/2003,636.25,636.25,636.25,636.25,15,+2.41%,132882,231248
05/08/2003,621.25,621.25,621.25,621.25,-1.75,-0.28%,115478,229002
05/07/2003,627,627.25,623,623,-2.,-0.32%,122042,231167
05/06/2003,620.25,625,620,625,1.25,+0.20%,123300,227968
05/05/2003,624.75,628.5,623.75,623.75,-2.5,-0.40%,151568,230738
05/02/2003,623.75,626.25,623.75,626.25,0.5,+0.08%,130896,231760
05/01/2003,620.75,625.75,620.5,625.75,2.25,+0.36%,166876,236805
04/30/2003,620,623.5,619.5,623.5,2.75,+0.44%,208714,242465
04/29/2003,606,620.75,605,620.75,15.75,+2.60%,182744,244760
04/28/2003,601,605,601,605,6,+1.00%,167660,246270
04/25/2003,601.75,601.75,599,599,-3.5,-0.58%,126172,245117
04/24/2003,603,604,602.5,602.5,-6.75,-1.11%,153796,254029
04/23/2003,609.5,610.5,609,609.25,-0.75,-0.12%,180956,257466
04/22/2003,616.25,618,610,610,-6.5,-1.05%,187460,259644
04/21/2003,621.25,621.75,616.5,616.5,-5.5,-0.88%,134046,263339
04/17/2003,608.5,622,607,622,12.75,+2.09%,206568,262071
04/16/2003,610,611.75,609.25,609.25,-1.25,-0.20%,131928,262810
04/15/2003,607.5,610.5,607.5,610.5,2.75,+0.45%,177590,264241
04/14/2003,599.5,607.75,599,607.75,7.5,+1.25%,161466,263477
04/11/2003,601,601,598.5,600.25,-0.75,-0.12%,123470,260070
04/10/2003,603.75,606.5,601,601,-3.,-0.50%,141048,257761
04/09/2003,601,604,600.5,604,3,+0.50%,151088,252656
04/08/2003,598,601,597,601,2.25,+0.38%,119704,250245
04/07/2003,590.25,598.75,590,598.75,8,+1.35%,144844,246743
04/04/2003,585,590.75,583.5,590.75,5.5,+0.94%,87788,242204
04/03/2003,585.75,586.5,585.25,585.25,-1.5,-0.26%,138700,239412
04/02/2003,574.25,586.75,574.25,586.75,13,+2.27%,162634,237474
04/01/2003,575,576.5,573.75,573.75,-0.75,-0.13%,89428,225346
03/31/2003,579.75,580.5,574.5,574.5,-5.5,-0.95%,113994,222984
03/28/2003,579.25,580,578.5,580,-0.25,-0.04%,70052,220954
03/27/2003,569,580.25,569,580.25,11.25,+1.98%,130494,223029
03/26/2003,573.25,573.25,569,569,-4.5,-0.78%,128578,216445
03/25/2003,569.5,573.5,568.25,573.5,3.75,+0.66%,59420,224338
03/24/2003,575.75,576.25,569.75,569.75,-7.,-1.21%,67704,226825
03/21/2003,574.5,576.75,574,576.75,2.25,+0.39%,74456,230141
03/20/2003,570.5,574.5,570,574.5,4,+0.70%,63756,229033
03/19/2003,573.25,574,570.5,570.5,-3.5,-0.61%,67086,228814
03/18/2003,568,574,566.75,574,5.75,+1.01%,95320,229911
03/17/2003,572.75,574,568.25,568.25,-6.25,-1.09%,82274,229201
03/14/2003,574.5,574.75,573.5,574.5,-0.75,-0.13%,79942,232064
