Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/14/2004,913.25,913.25,862.5,862.5,-48.5,-5.32%,143860,178596
07/13/2004,924,924,911,911,-26.,-2.77%,130884,178560
07/12/2004,954.75,955,937,937,-17.,-1.78%,138104,180262
07/09/2004,976,979,954,954,-18.5,-1.90%,106372,177565
07/08/2004,967.5,972.5,960.25,972.5,11,+1.14%,138548,177142
07/07/2004,980,990,961.5,961.5,-18.,-1.84%,217824,175648
07/06/2004,942.75,979.5,935.75,979.5,40,+4.26%,144676,168379
07/02/2004,934.25,948,934,939.5,6,+0.64%,114294,173297
07/01/2004,892,933.5,892,933.5,40.5,+4.54%,143992,176954
06/30/2004,894,895,887.75,893,-1.5,-0.17%,189014,179616
06/29/2004,895,899.5,892,894.5,9.5,+1.07%,142476,183268
06/28/2004,911,918,885,885,-35.5,-3.86%,158312,187234
06/25/2004,919.25,923.5,913.75,920.5,-1.,-0.11%,133434,196585
06/24/2004,920,927.75,918.75,921.5,4,+0.44%,173250,201830
06/23/2004,890,917.5,887,917.5,30.5,+3.44%,157824,201218
06/22/2004,891.5,893,887,887,-1.5,-0.17%,138458,199652
06/21/2004,871.75,888.5,865,888.5,16.5,+1.89%,130936,198768
06/18/2004,863,872,851,872,9,+1.04%,101974,195677
06/17/2004,872,879.75,863,863,-6.5,-0.75%,150936,198334
06/16/2004,882,883.5,869.5,869.5,-14.5,-1.64%,158584,199081
06/15/2004,873,884,871.25,884,11.5,+1.32%,158060,202375
06/14/2004,853,872.5,844,872.5,25.5,+3.01%,169232,211230
06/10/2004,852.5,855,847,847,-5.,-0.59%,6050,208200
06/09/2004,851.25,855.5,848.5,852,0,0.00%,123880,204808
06/08/2004,846,854,842.75,852,3,+0.35%,149030,204274
06/07/2004,826.75,849,816,849,10.5,+1.25%,169224,202663
06/04/2004,807.75,838.5,800.75,838.5,32.5,+4.03%,138096,200728
06/03/2004,843.75,844.25,806,806,-43.5,-5.12%,157494,202363
06/02/2004,869,876,849.5,849.5,-14.5,-1.68%,150860,202319
06/01/2004,828,864,828,864,50,+6.14%,97458,201049
05/28/2004,817.5,826,812,814,-8.,-0.97%,121444,200987
05/27/2004,870.5,871.5,822,822,-50.,-5.73%,171612,202804
05/26/2004,885,892,872,872,-10.25,-1.16%,134718,203687
