Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/13/2004,652,652,652,652,-35.5,-5.16%,66692,168515
08/12/2004,638.5,687.5,637.5,687.5,50.5,+7.93%,140784,169952
08/11/2004,629,637,629,637,6.5,+1.03%,84704,167915
08/10/2004,610,630.5,605.5,630.5,16,+2.60%,59590,168441
08/09/2004,613,614.5,613,614.5,7.75,+1.28%,68328,167817
08/06/2004,610,616.5,606.75,606.75,-2.75,-0.45%,83390,167593
08/05/2004,591,609.5,590,609.5,19.5,+3.31%,89650,169036
08/04/2004,599,599,590,590,-9.5,-1.58%,102444,167545
08/03/2004,599,599.5,585,599.5,1.5,+0.25%,105118,170577
08/02/2004,591,599.5,591,598,-1.5,-0.25%,105110,166970
07/30/2004,625.25,629.75,599.5,599.5,-25.,-4.00%,121008,162870
07/29/2004,631,637.75,624.5,624.5,-2.5,-0.40%,143588,162508
07/28/2004,662,666,627,627,-38.5,-5.79%,134838,164501
07/27/2004,670.25,674.75,665.5,665.5,-3.5,-0.52%,140226,166302
07/26/2004,662.5,669,640,669,-0.5,-0.07%,122586,165724
07/23/2004,652.75,669.5,650,669.5,12,+1.83%,127416,167543
07/22/2004,707,709.75,657.5,657.5,-50.,-7.07%,178440,178021
07/21/2004,725,734,707.5,707.5,-17.5,-2.41%,159226,175613
07/20/2004,706.5,725,705,725,17.5,+2.47%,171674,169419
07/19/2004,705.25,707.5,699.5,707.5,0,0.00%,125228,167667
07/16/2004,742.5,745,707.5,707.5,-43.5,-5.79%,175530,171691
07/15/2004,781,782,751,751,-29.75,-3.81%,130580,177821
07/14/2004,769,780.75,757.25,780.75,13.25,+1.73%,143860,178596
07/13/2004,783,783,767.5,767.5,-18.5,-2.35%,130884,178560
07/12/2004,813,816.75,786,786,-28.,-3.44%,138104,180262
07/09/2004,815,820.5,810,814,1,+0.12%,106372,177565
07/08/2004,820.5,820.5,813,813,-8.5,-1.03%,138548,177142
07/07/2004,820.25,825,820.25,821.5,2,+0.24%,217824,175648
07/06/2004,804.5,819.5,802,819.5,10.25,+1.27%,144676,168379
07/02/2004,802.5,809.25,802.5,809.25,5.5,+0.68%,114294,173297
07/01/2004,785.25,803.75,784.75,803.75,21.25,+2.72%,143992,176954
06/30/2004,805.5,806.5,782.5,782.5,-23.,-2.86%,189014,179616
06/29/2004,808.5,817,805.5,805.5,-2.,-0.25%,142476,183268
06/28/2004,845.5,845.5,807.5,807.5,-39.25,-4.64%,158312,187234
06/25/2004,845.25,850.25,842.5,846.75,-1.25,-0.15%,133434,196585
06/24/2004,844,852.25,844,848,4.5,+0.53%,173250,201830
06/23/2004,815.75,843.5,815.5,843.5,28,+3.43%,157824,201218
06/22/2004,818.25,821,815.5,815.5,-2.,-0.24%,138458,199652
06/21/2004,798.75,817.5,791.5,817.5,18.5,+2.32%,130936,198768
06/18/2004,795,799,785.5,799,4.5,+0.57%,101974,195677
06/17/2004,802,809,794.5,794.5,-6.,-0.75%,150936,198334
06/16/2004,805,811,800.5,800.5,-5.5,-0.68%,158584,199081
06/15/2004,800.5,808,799.5,806,6.75,+0.84%,158060,202375
06/14/2004,787.25,799.25,784,799.25,14.75,+1.88%,169232,211230
06/10/2004,800.5,804,784.5,784.5,-16.,-2.00%,6050,208200
06/09/2004,803,805.5,798.5,800.5,-3.5,-0.44%,123880,204808
06/08/2004,805.5,812.5,801.75,804,-3.5,-0.43%,149030,204274
06/07/2004,791.75,807.5,777,807.5,2.5,+0.31%,169224,202663
06/04/2004,782,805,775,805,24.5,+3.14%,138096,200728
06/03/2004,815,815,780.5,780.5,-37.75,-4.61%,157494,202363
06/02/2004,831.75,838.5,818.25,818.25,-6.75,-0.82%,150860,202319
06/01/2004,789.25,825,789.25,825,50,+6.45%,97458,201049
05/28/2004,778,787.5,773.25,775,-4.5,-0.58%,121444,200987
05/27/2004,824,825,779.5,779.5,-44.,-5.34%,171612,202804
05/26/2004,832,837.5,823.5,823.5,-6.5,-0.78%,134718,203687
05/25/2004,816,830,813.5,830,18.25,+2.25%,127532,204427
05/24/2004,819,820,811.5,811.75,-0.75,-0.09%,117012,204939
05/21/2004,814,818,811,812.5,-3.5,-0.43%,132628,206118
05/20/2004,850,852,816,816,-33.5,-3.94%,158804,208023
05/19/2004,825,849.5,824,849.5,22.5,+2.72%,175128,210729
05/18/2004,848,856.25,827,827,-19.75,-2.33%,190592,215416
05/17/2004,864.75,864.75,842.25,846.75,-22.25,-2.56%,190750,220893
05/14/2004,917,919,869,869,-48.75,-5.31%,190088,224987
05/13/2004,906,917.75,905.5,917.75,13.25,+1.46%,165104,229230
05/12/2004,952,955,904.5,904.5,-47.,-4.94%,255276,235582
05/11/2004,951.5,952,947.25,951.5,6.75,+0.71%,98340,235356
05/10/2004,964,965,944.75,944.75,-20.25,-2.10%,149510,236247
05/07/2004,941,965,936.5,965,24,+2.55%,175842,241746
05/06/2004,957.75,959.5,941,941,-18.,-1.88%,140544,238714
05/05/2004,957,961,957,959,3,+0.31%,128616,240166
05/04/2004,952,956,949.5,956,3.5,+0.37%,134880,242566
05/03/2004,940,952.5,939,952.5,13,+1.38%,132506,243589
04/30/2004,933.5,939.5,930,939.5,9,+0.97%,182694,245350
