Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/14/2018,821.5,823.5,821.5,821.5,-1.25,-0.15%,133633,852260
09/13/2018,828.25,833.25,822.75,822.75,-6.25,-0.75%,182397,841212
09/12/2018,820.5,829,811.5,829,8.75,+1.07%,290386,835642
09/11/2018,836.75,836.75,820.25,820.25,-13.25,-1.59%,155693,826269
09/10/2018,832.25,838.25,832.25,833.5,1.5,+0.18%,144956,822806
09/07/2018,826.5,833.25,824.25,832,5.25,+0.64%,128692,818000
09/06/2018,828.25,829.75,824,826.75,1.25,+0.15%,127748,814634
09/05/2018,835.25,835.25,825.5,825.5,-6.5,-0.78%,92609,810119
09/04/2018,832,838.75,826.25,832,-1.,-0.12%,172204,808144
08/31/2018,816,833.25,816,833,13.5,+1.65%,149129,808891
08/30/2018,823,831.5,817,819.5,-3.75,-0.46%,164807,812277
08/29/2018,820.75,830.75,819.75,823.25,2.75,+0.34%,204302,804383
08/28/2018,833.25,836.5,820.25,820.5,-14.25,-1.71%,203715,801315
08/27/2018,838.25,840,824.75,834.75,-7.25,-0.86%,236487,802870
08/24/2018,841.5,848.5,840.75,842,0,0.00%,156062,803198
08/23/2018,857.5,861.75,842,842,-16.25,-1.89%,178581,806176
08/22/2018,873.5,873.75,857.25,858.25,-16.25,-1.86%,194784,797032
08/21/2018,874,883.25,873.5,874.5,-7.25,-0.82%,146168,789943
08/20/2018,889.75,896,880.5,881.75,0.25,+0.03%,125688,787299
08/17/2018,884.75,887.5,871,881.5,-4.,-0.45%,160316,790155
08/16/2018,859.75,888.25,854.5,885.5,28,+3.27%,238810,795415
08/15/2018,867.75,872.5,856.5,857.5,-10.75,-1.24%,141952,801080
08/14/2018,854.25,869.25,852.75,868.25,11,+1.28%,165475,799989
08/13/2018,848.5,859.25,839.75,857.25,6.5,+0.76%,259912,801545
08/10/2018,892.5,893,849.5,850.75,-42.25,-4.73%,349951,797642
08/09/2018,899.25,903.5,891.25,893,-6.75,-0.75%,121662,790914
08/08/2018,892.25,903,888,899.75,4.5,+0.50%,116733,793430
08/07/2018,887.25,897.5,885.75,895.25,12.5,+1.42%,140543,789827
