Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
11/14/2008,903,903,873.25,878,-9.,-1.01%,59886,310485
11/13/2008,875,902.75,865,887,1.75,+0.20%,111883,314873
11/12/2008,903.5,912.25,880.25,885.25,-22.75,-2.51%,115064,313300
11/11/2008,930,936.5,889.25,908,-32.,-3.40%,106065,316647
11/10/2008,944.75,946.25,911,940,28.25,+3.10%,119213,312056
11/07/2008,896,918,894.75,911.75,12.25,+1.36%,99357,313359
11/06/2008,894.75,904.5,874.25,899.5,4.75,+0.53%,123976,311726
11/05/2008,950.75,955.75,893.75,894.75,-54.75,-5.77%,131672,310749
11/04/2008,926.25,972,914.75,949.5,21.25,+2.29%,118576,308353
11/03/2008,922.75,949,912.5,928.25,3,+0.32%,110928,308661
10/31/2008,933.75,940,910,925.25,-8.75,-0.94%,111788,306550
10/30/2008,935.75,964,918.5,934,-3.25,-0.35%,156442,311917
10/29/2008,896,948.75,890.5,937.25,58.5,+6.66%,190088,316838
10/28/2008,903,952,862.25,878.75,-14.25,-1.60%,251462,320719
10/27/2008,879.5,904,851.25,893,29.25,+3.39%,159610,329149
10/24/2008,895.75,920.25,844.25,863.75,-20.75,-2.35%,164612,339190
10/23/2008,861.5,906.75,850,884.5,25.5,+2.97%,153047,357847
10/22/2008,910.5,912.75,858,859,-49.,-5.40%,150204,351478
10/21/2008,934.5,944.5,892,908,-21.,-2.26%,191882,360169
10/20/2008,890.75,934.5,890,929,35,+3.91%,162996,359119
10/17/2008,881.5,909,876.5,894,27,+3.11%,164860,356951
10/16/2008,850,874.75,825,867,9,+1.05%,182334,355361
10/15/2008,894,911,846.5,858,-38.,-4.24%,169318,354248
10/14/2008,936.5,958,893.25,896,-32.,-3.45%,150488,367120
10/13/2008,902.75,938.75,881.5,928,18,+1.98%,158658,367055
10/10/2008,951.5,955,910,910,-70.,-7.14%,93421,354851
10/09/2008,960,990,947,980,16,+1.66%,144721,364930
10/08/2008,930,989,911,964,38,+4.10%,193550,362163
10/07/2008,922.75,951.5,916.75,926,4,+0.43%,177958,358187
10/06/2008,971,983,922,922,-70.,-7.06%,133126,348738
10/03/2008,1004,1023.75,991.25,992,-12.,-1.20%,153388,356210
10/02/2008,1053.5,1059.25,992.25,1004,-49.,-4.65%,172063,355074
10/01/2008,1054.75,1066,1039.25,1053,8,+0.77%,132995,360204
09/30/2008,1077.75,1096,1039,1045,-49.,-4.48%,167256,356976
09/29/2008,1159.5,1160.5,1094,1094,-70.,-6.01%,84178,357168
09/26/2008,1183.5,1197.75,1155.75,1164,-19.,-1.61%,84460,353553
09/25/2008,1187.75,1204.5,1168.25,1183,-4.,-0.34%,100283,357449
09/24/2008,1192,1208,1178.25,1187,0,0.00%,95324,357908
09/23/2008,1203.75,1211,1168.25,1187,-18.,-1.49%,121602,354681
09/22/2008,1144.25,1212.25,1134,1205,61.5,+5.38%,134105,353124
09/19/2008,1120.5,1157.75,1117,1143.5,27.5,+2.46%,101602,353432
09/18/2008,1135.75,1151.5,1099.5,1116,-23.,-2.02%,139116,355342
09/17/2008,1123.5,1144,1107,1139,15,+1.33%,178339,366337
09/16/2008,1168.75,1179,1110.25,1124,-55.,-4.66%,156961,374393
09/15/2008,1208,1210,1155.25,1179,-23.,-1.91%,139569,375226
09/12/2008,1179.25,1222.5,1178,1202,26,+2.21%,142752,374380
09/11/2008,1175.5,1188,1165,1176,-2.,-0.17%,116502,371678
09/10/2008,1195,1207,1175.25,1178,-23.,-1.92%,85406,375294
09/09/2008,1189,1204.75,1157,1201,9,+0.76%,135671,376479
09/08/2008,1197.5,1199.75,1173.25,1192,15,+1.27%,122498,368810
09/05/2008,1230.5,1232,1166.75,1177,-58.,-4.70%,152871,367608
09/04/2008,1253.5,1261,1232.25,1235,-16.5,-1.32%,89934,368824
09/03/2008,1304.75,1314,1229,1251.5,-47.,-3.62%,138192,368813
09/02/2008,1302,1305,1255,1298.5,-25.5,-1.93%,128118,370781
08/29/2008,1324.5,1339,1316.75,1324,0,0.00%,67507,372767
08/28/2008,1347.5,1349,1307,1324,-24.,-1.78%,108151,375330
08/27/2008,1347,1371,1327.5,1348,3.5,+0.26%,135487,379336
08/26/2008,1344.75,1354.5,1308,1344.5,-2.5,-0.19%,104836,382481
08/25/2008,1350,1374.5,1338.5,1347,20,+1.51%,115146,388429
08/22/2008,1348,1348,1314,1327,-21.,-1.56%,107462,384748
08/21/2008,1304.25,1369.75,1296.5,1348,48,+3.69%,127303,394882
08/20/2008,1280,1317,1275.5,1300,24,+1.88%,158118,392780
08/19/2008,1286.5,1341,1258.25,1276,-13.,-1.01%,133985,390464
08/18/2008,1227.75,1289,1226.5,1289,70,+5.74%,93373,388245
08/15/2008,1274,1278.25,1204.25,1219,-55.,-4.32%,92442,390732
08/14/2008,1297,1307,1241,1274,-10.,-0.78%,123381,390461
08/13/2008,1218,1284,1212.5,1284,70,+5.77%,101043,394462
08/12/2008,1197.5,1225,1183,1214,18,+1.51%,120834,392492
08/11/2008,1188,1202,1168,1196,15.5,+1.31%,106175,392103
08/08/2008,1245,1250.5,1173.5,1180.5,-58.5,-4.72%,117011,392336
08/07/2008,1225,1257.25,1222.25,1239,17,+1.39%,115187,390723
08/06/2008,1267,1275.5,1199,1222,-47.,-3.70%,162539,390564
08/05/2008,1284.25,1308.75,1251,1269,-26.,-2.01%,147495,393411
08/04/2008,1360,1361,1295,1295,-70.,-5.13%,108156,393205
08/01/2008,1401.5,1409.25,1362.75,1365,-39.,-2.78%,108622,397766
07/31/2008,1406.5,1417,1387,1404,-1.,-0.07%,114121,394816
07/30/2008,1396,1408,1370.25,1405,14,+1.01%,148119,396249
