,"STU, US","STU, AR","STU, BR","STU, Corn","Production, US","Production, AR","Production, BR",PPI- Commodities, PPI- Farm Products,PPI- Grains,PPI- OilSeeds,PPI- Corn,PPI- Soybeans,"PPI- Industry, Food","PPI- Freight, WareHousing",GDP (Bn USD),Gold,DX,Crude,USD?BRL,Price_High,Price_Low,Price_Average
"STU, US",1.0,0.22775957452732107,0.14551953676187637,0.31850562454336906,0.31042091523481924,0.09639659355724685,0.03412591662994389,-0.1209335613222646,-0.23709410067134132,-0.4021149958370097,-0.45047724004889667,-0.4017127768003517,-0.4533913599585649,-0.09529182834847269,-0.03906428736551207,0.07041799024956151,-0.13123722692697107,0.16875069901893924,-0.3039497669830051,0.03518340354078748,-0.4421896121836748,-0.41803584565760177,-0.43128644892366647
"STU, AR",0.22775957452732107,1.0,0.6395072764964332,-0.11834480642880743,0.5093230704907343,0.779415031415872,0.420478412003435,0.44361612496491687,0.42954806917279054,0.21619150820205954,0.35163578545903834,0.19104384254421575,0.35430982617870593,0.4942209070399466,0.4632292867642763,0.23849840658135932,0.42430570994569744,-0.4232304010891226,0.06325305388185777,-0.04136476776693827,0.35179113440642246,0.36698745085716594,0.35913728844477605
"STU, BR",0.14551953676187637,0.6395072764964332,1.0,-0.1558563892131298,0.42103220279531767,0.5873075808101732,0.5774222744570049,0.5909019753159089,0.5221858708087834,0.33051053630587635,0.3679847181694113,0.291068211030237,0.36726916475599075,0.5694640940608534,0.5987746167433976,0.4512489610638333,0.4848191346205592,-0.34027032684856534,0.047877673158537463,0.23679022177341535,0.37392984477416374,0.38016518309935093,0.378192980136047
"STU, Corn",0.31850562454336906,-0.11834480642880743,-0.1558563892131298,1.0,-0.020686765666872862,-0.3671789584220148,-0.16141882055373394,-0.3674728052322332,-0.45594956904411393,-0.6457483174839114,-0.5579510725569744,-0.6575932708402221,-0.5574466742732367,-0.3171615916649221,-0.2984693266888924,-0.005611479751326667,-0.36220715939330783,0.4467510598833595,-0.4888109089467202,0.11747578872615805,-0.5652031553011241,-0.5555449052241784,-0.5642592265718815
"Production, US",0.31042091523481924,0.5093230704907343,0.42103220279531767,-0.020686765666872862,1.0,0.6022679190720166,0.8797724627596742,0.7429516525314739,0.6351536272254987,0.3617632606414679,0.4237070043015985,0.3487096390206469,0.4176588235979426,0.8000600144830384,0.8260005749066028,0.8530016403376304,0.7265501002784875,0.2161112426714267,-0.03830022341921493,0.721861583114991,0.41200756861183174,0.4474266905237743,0.42888390066351056
"Production, AR",0.09639659355724685,0.779415031415872,0.5873075808101732,-0.3671789584220148,0.6022679190720166,1.0,0.603671646211284,0.644776346315938,0.6226614676375426,0.5181738116060528,0.6037359100621876,0.5056020579849044,0.6021586175803886,0.6895240908366714,0.6663235312209007,0.4873262703349007,0.7043573397275634,-0.46613624321344116,0.23565810813499202,0.12376063237930693,0.6112588881195057,0.6239395124218656,0.619452203405513
"Production, BR",0.03412591662994389,0.420478412003435,0.5774222744570049,-0.16141882055373394,0.8797724627596742,0.603671646211284,1.0,0.8804532794634261,0.7944144033366505,0.544356945552683,0.6084638865437664,0.5266111513606545,0.6033474916279707,0.9258232385257117,0.9528888544422981,0.9806669990622983,0.8710994462117383,0.14730735504487238,0.0658910473441643,0.8466057464496004,0.5906502226531566,0.6217461415711792,0.6067062864292592
PPI- Commodities,-0.1209335613222646,0.44361612496491687,0.5909019753159089,-0.3674728052322332,0.7429516525314739,0.644776346315938,0.8804532794634261,1.0,0.9584316162511105,0.8088511688053086,0.8335784908099829,0.7844416348250378,0.827088627996869,0.9730900798957769,0.9740608912643935,0.9131172480402643,0.9180903499497879,-0.11578416156473463,0.5462982747654405,0.548313023736991,0.8257930520074365,0.846712868404065,0.8374217436050168
 PPI- Farm Products,-0.23709410067134132,0.42954806917279054,0.5221858708087834,-0.45594956904411393,0.6351536272254987,0.6226614676375426,0.7944144033366505,0.9584316162511105,1.0,0.8855935272909035,0.9077896214771612,0.8666973796173312,0.903094206395218,0.9452366887830068,0.917721402282565,0.8056145232084946,0.8895186504274547,-0.1655371311715796,0.6191411375181359,0.4367002333705372,0.8956244466174241,0.9133486791337833,0.9055955036242164
PPI- Grains,-0.4021149958370097,0.21619150820205954,0.33051053630587635,-0.6457483174839114,0.3617632606414679,0.5181738116060528,0.544356945552683,0.8088511688053086,0.8855935272909035,1.0,0.9414847488636822,0.9946847650745765,0.9368502211735477,0.7510622153580054,0.7149387768494299,0.5274827385112894,0.7808580293726273,-0.3426612156639382,0.7585639008558581,0.1819763520167259,0.9399253639665975,0.9382421960213254,0.942189266777362
PPI- OilSeeds,-0.45047724004889667,0.35163578545903834,0.3679847181694113,-0.5579510725569744,0.4237070043015985,0.6037359100621876,0.6084638865437664,0.8335784908099829,0.9077896214771612,0.9414847488636822,1.0,0.9317143035974164,0.9995456075343419,0.8076832940587458,0.757836797064095,0.577375014578022,0.8170761962195748,-0.3785516749324497,0.7125002392048881,0.21654019470252456,0.9923949084850354,0.9903482109661546,0.99298598996006
PPI- Corn,-0.4017127768003517,0.19104384254421575,0.291068211030237,-0.6575932708402221,0.3487096390206469,0.5056020579849044,0.5266111513606545,0.7844416348250378,0.8666973796173312,0.9946847650745765,0.9317143035974164,1.0,0.9271390545316386,0.732595311248776,0.6934131033957686,0.5067934844090303,0.7739815548932234,-0.3289039666707054,0.7388164698654944,0.17057253857912147,0.9274930743446415,0.9263031958945948,0.9298023582973115
PPI- Soybeans,-0.4533913599585649,0.35430982617870593,0.36726916475599075,-0.5574466742732367,0.4176588235979426,0.6021586175803886,0.6033474916279707,0.827088627996869,0.903094206395218,0.9368502211735477,0.9995456075343419,0.9271390545316386,1.0,0.8011002614564217,0.7509497117941245,0.5691282308315115,0.8102967990639074,-0.38671703272668695,0.7103717373932409,0.2094201935223224,0.9922775465232384,0.9899202572310892,0.9927053699064093
