Date,"STU, US","STU, AR","STU, BR","STU, Corn","Production, US","Production, AR","Production, BR",PPI- Commodities, PPI- Farm Products,PPI- Grains,PPI- OilSeeds,PPI- Corn,PPI- Soybeans,"PPI- Industry, Food","PPI- Freight, WareHousing",GDP (Bn USD),Gold,DX,Crude,USD?BRL,Price_High,Price_Low,Price_Average,Average_Price_Collection
2000-01-12,0.2068,0.2247,0.2232,0.2271,71.93,19.0,31.0,128.3,95.9,77.8,89.7,77.1,79.6,126.7,77.55,,284.86,101.5455,,,529.5,473.75,504.8,"[480.375, 485.0, 492.75, 494.75, 500.875, 502.125, 504.25, 511.625, 514.0, 514.0, 518.0, 525.5, 512.25, 507.25, 509.25]"
2000-02-11,0.1961,0.2247,0.2078,0.2304,71.93,19.5,30.5,129.8,97.5,82.4,94.7,82.8,83.9,127.2,77.83,,299.44,104.4565,,,519.5,492.0,504.46666666666664,"[509.125, 507.0, 506.125, 507.875, 507.25, 511.875, 516.0, 506.0, 500.5, 498.75, 497.0, 498.25, 499.75, 497.5, 504.0]"
2000-03-10,0.1848,0.2382,0.2078,0.2304,71.93,20.0,30.5,130.8,100.6,85.9,98.3,87.8,87.1,127.4,78.11,,286.4,105.6243478,,,538.5,508.0,526.6666666666666,"[513.75, 517.5, 526.75, 527.0, 528.5, 533.25, 526.5, 525.125, 528.75, 526.375, 526.75, 531.625, 528.625, 526.625, 532.875]"
2000-04-11,0.1734,0.2651,0.2034,0.2321,71.93,21.0,30.5,130.7,101.6,82.6,98.0,83.6,87.3,128.1,78.4,,280.09,106.5363158,,,560.0,522.5,537.6666666666666,"[531.5, 531.625, 537.75, 540.5, 530.5, 532.25, 535.125, 533.875, 538.75, 544.0, 543.5, 536.25, 528.25, 545.0, 556.125]"
2000-05-12,0.1711,0.2666,0.2008,0.2594,71.93,21.0,31.0,131.6,103.7,85.8,102.3,87.7,91.6,129.3,78.68,,274.74,110.8768182,,,567.5,512.25,540.2833333333333,"[563.5, 548.5, 546.875, 540.75, 551.875, 550.5, 553.625, 551.25, 543.875, 534.5, 531.0, 519.375, 518.375, 523.75, 526.5]"
2000-06-09,0.1726,0.2673,0.195,0.2423,71.93,21.0,31.0,133.8,100.1,78.6,97.1,76.1,87.0,129.4,78.96,,284.92,107.2454545,,,523.75,488.0,504.73333333333335,"[520.75, 508.5, 510.5, 507.25, 512.875, 509.25, 505.0, 502.5, 505.0, 506.75, 499.875, 496.75, 501.25, 493.0, 491.75]"
2000-07-12,0.2694,0.2648,0.219,0.2868,80.01,21.5,32.8,133.7,97.3,71.0,90.8,65.3,80.8,129.4,79.24,,281.79,108.166,,,475.0,442.0,456.18333333333334,"[470.0, 470.25, 463.375, 458.125, 457.0, 454.25, 455.125, 458.0, 460.875, 453.0, 450.625, 452.375, 451.75, 446.0, 442.0]"
2000-08-11,0.2587,0.2648,0.2101,0.3119,81.34,21.5,32.8,132.9,94.6,66.8,87.4,61.7,77.8,128.7,79.52,,274.29,111.0365217,,,494.75,452.5,465.1333333333333,"[452.5, 456.0, 457.5, 465.0, 460.0, 458.25, 462.0, 458.5, 459.5, 461.75, 461.75, 470.25, 484.25, 481.75, 488.0]"
2000-09-12,0.2024,0.2648,0.2101,0.2902,78.91,21.5,32.8,134.7,98.0,70.1,92.5,65.5,82.8,128.5,79.81,,273.62,114.3585,,,511.0,482.5,493.0833333333333,"[508.25, 503.375, 495.625, 488.5, 485.5, 484.5, 485.375, 488.875, 492.75, 495.0, 495.125, 494.125, 496.75, 494.75, 487.75]"
2000-10-12,0.2046,0.2842,0.2008,0.2322,76.82,22.6,33.5,135.4,100.3,76.3,89.9,71.9,79.4,128.7,80.09,,270.31,115.8740909,,,479.5,454.75,465.7,"[476.875, 470.25, 465.5, 466.5, 467.5, 469.375, 471.5, 465.75, 465.125, 467.75, 464.75, 459.25, 457.0, 457.25, 461.125]"
2000-11-09,0.1983,0.2973,0.2158,0.2146,75.58,23.0,34.5,135.0,101.5,81.2,90.0,78.3,79.1,128.8,80.37,,265.47,116.4528571,,,508.0,471.0,487.94166666666666,"[480.875, 474.5, 473.625, 476.875, 480.0, 479.5, 482.375, 488.5, 491.0, 489.75, 496.375, 502.625, 498.375, 502.125, 502.625]"
2000-12-12,0.1808,0.2827,0.2004,0.2242,75.58,23.5,34.5,136.2,103.4,81.2,94.8,78.9,84.1,129.6,80.65,,271.67,112.9665,,,513.75,493.75,505.1,"[510.5, 506.5, 506.5, 505.375, 510.5, 509.875, 510.0, 508.25, 510.375, 507.75, 501.125, 498.25, 498.5, 497.5, 495.5]"
2001-01-11,0.181,0.2827,0.2021,0.2333,75.38,23.5,34.5,140.0,104.5,85.7,93.6,83.8,82.8,130.3,80.94,,265.87,110.1195238,,,498.0,457.75,471.2,"[491.25, 484.125, 480.0, 476.0, 473.375, 474.5, 470.0, 476.75, 467.875, 469.5, 466.0, 458.875, 460.5, 460.375, 458.875]"
2001-02-08,0.1963,0.3195,0.25,0.2438,75.38,24.0,35.5,137.4,103.6,80.1,86.5,77.2,75.0,130.8,81.22,,261.75,111.7131579,,,463.5,447.25,453.7916666666667,"[462.875, 452.5, 454.875, 453.25, 450.375, 452.5, 452.0, 456.5, 455.625, 457.5, 452.25, 448.25, 450.5, 452.875, 455.0]"
2001-03-08,0.1879,0.3491,0.2887,0.2503,75.38,25.0,35.5,135.9,107.3,84.0,86.9,81.6,76.2,131.8,81.5,,263.32,113.6577273,,,465.5,434.25,448.0416666666667,"[463.25, 462.0, 461.5, 459.625, 450.375, 444.0, 445.0, 443.375, 445.0, 444.875, 439.625, 435.5, 440.0, 443.125, 443.375]"
2001-04-10,0.1691,0.3931,0.2755,0.2503,75.38,26.0,35.5,136.4,106.0,80.4,84.2,78.6,73.3,132.5,81.78,,260.29,115.6145,,,442.0,422.0,430.30833333333334,"[437.375, 435.125, 436.25, 434.125, 431.0, 430.25, 431.875, 430.0, 426.625, 424.25, 424.0, 425.375, 426.375, 428.125, 433.875]"
2001-05-10,0.1657,0.3931,0.3,0.2478,75.38,26.0,36.5,136.8,106.8,79.7,88.2,74.3,76.5,133.4,82.06,,271.62,116.5877273,,,451.0,434.5,443.69166666666666,"[437.0, 435.25, 439.5, 444.125, 445.25, 448.625, 450.25, 445.875, 444.0, 445.75, 448.0, 449.625, 443.875, 439.75, 438.5]"
2001-06-12,0.15,0.3887,0.3245,0.2446,75.38,26.0,37.5,135.5,105.9,77.6,91.3,72.4,80.8,133.7,82.35,,270.49,118.9552381,,,491.75,450.75,465.7416666666667,"[472.5, 473.0, 472.875, 464.625, 460.625, 467.0, 468.25, 463.375, 458.25, 452.875, 454.125, 459.0, 462.125, 472.125, 485.375]"
2001-07-11,0.1879,0.3354,0.288,0.2356,79.88,25.5,38.0,133.4,105.0,81.0,97.4,79.2,87.0,134.0,82.63,,267.61,118.5280952,,,532.5,490.0,512.25,"[506.0, 518.25, 526.625, 517.0, 523.25, 520.5, 516.0, 505.375, 496.875, 509.5, 506.5, 513.25, 511.0, 510.5, 503.125]"
2001-08-10,0.1642,0.3107,0.29,0.1865,78.04,26.0,39.0,133.4,105.5,83.1,98.6,83.0,88.4,134.6,82.91,,272.19,114.5913043,,2.5481,522.25,473.5,495.56666666666666,"[512.0, 522.25, 515.625, 513.75, 510.625, 504.25, 494.25, 493.375, 490.0, 484.875, 480.125, 477.125, 481.125, 477.25, 476.875]"
2001-09-14,0.1391,0.3006,0.27,0.1734,77.12,26.0,39.0,133.3,105.3,81.7,91.4,80.8,80.1,134.5,83.19,,282.53,113.29,,2.657665,484.5,450.5,465.25,"[479.25, 476.0, 477.5, 472.25, 471.0, 472.875, 471.5, 466.5, 463.875, 464.375, 456.375, 451.25, 452.5, 451.875, 451.625]"
2001-10-12,0.1882,0.3061,0.2706,0.1862,79.12,27.0,41.5,130.3,101.2,78.5,86.7,75.8,75.3,134.1,83.48,,283.38,114.1117391,,2.741217391,447.5,419.75,428.75,"[441.5, 433.125, 429.625, 430.625, 433.125, 427.875, 422.375, 421.375, 422.125, 425.75, 427.375, 425.75, 429.125, 430.0, 431.5]"
2001-11-09,0.1929,0.3387,0.2627,0.2011,79.55,28.0,41.5,129.8,97.3,80.3,86.5,77.5,74.7,132.4,83.76,,276.03,115.9722727,,2.549159091,453.5,435.0,445.625,"[440.75, 445.25, 446.375, 446.125, 447.375, 449.25, 452.5, 451.0, 449.0, 451.375, 446.625, 442.25, 439.75, 436.25, 440.5]"
2001-12-11,0.1788,0.34,0.2549,0.2011,79.55,28.75,41.5,128.1,96.6,82.6,85.3,81.1,73.6,131.7,84.04,,276.29,116.129,,2.360238095,443.0,418.0,431.0416666666667,"[440.25, 434.75, 432.875, 435.25, 437.0, 434.375, 433.125, 435.375, 436.0, 428.25, 428.25, 426.375, 422.5, 420.375, 420.875]"
2002-01-11,0.1545,0.3527,0.2745,0.1958,78.67,28.75,42.5,128.5,99.9,82.2,85.5,80.2,74.5,131.5,84.32,10783.5,281.8,117.5833333,,2.379536364,452.5,426.75,438.275,"[437.25, 445.5, 446.375, 448.25, 451.5, 448.375, 444.0, 437.5, 435.5, 434.875, 429.25, 430.25, 427.5, 429.125, 428.875]"
2002-02-08,0.1487,0.3868,0.2863,0.1958,78.67,28.75,42.5,128.4,101.8,80.9,85.3,79.2,73.8,132.0,84.61,10783.5,295.55,119.0978947,,2.42105,446.5,428.75,437.84166666666664,"[431.0, 429.875, 433.625, 437.5, 438.0, 436.25, 437.25, 441.25, 444.25, 442.625, 439.875, 436.125, 439.875, 439.375, 440.75]"
2002-03-08,0.1428,0.3868,0.3062,0.2022,78.67,28.75,43.5,129.8,104.4,81.2,88.0,80.0,76.7,132.0,84.89,10783.5,294.57,117.993,,2.343714286,476.25,457.5,464.60833333333335,"[461.5, 463.5, 464.0, 462.0, 465.75, 469.5, 466.25, 462.0, 461.375, 458.5, 461.875, 464.25, 465.125, 469.875, 473.625]"
2002-04-10,0.1429,0.3978,0.3255,0.2059,78.67,29.5,43.5,130.8,94.3,79.3,90.1,78.1,78.3,131.5,85.17,10887.5,303.14,117.0313636,,2.320954545,480.75,455.5,467.225,"[461.25, 459.625, 458.25, 459.125, 459.875, 467.25, 471.625, 471.0, 472.875, 471.5, 477.25, 477.375, 474.5, 464.75, 462.125]"
2002-05-10,0.1398,0.4086,0.3371,0.1973,78.67,29.5,43.5,130.8,96.6,82.8,91.5,83.1,81.4,130.9,85.45,10887.5,314.09,113.5736364,,2.483681818,508.75,470.75,487.825,"[473.625, 474.75, 475.75, 478.625, 482.25, 486.0, 487.875, 491.375, 492.5, 492.625, 489.5, 492.625, 497.125, 498.125, 504.625]"
